surgery	Age	Hospital Number	rectal temperature	pulse	respiratory rate	temperature of extremitie	peripheral pulse	mucous membranes	capillary refill time	pain	peristalsis	abdominal distension	nasogastric tube	nasogastric reflux	nasogastric reflux PH	rectal examination - fece	abdomen	packed cell volume	total protein	abdominocentesis appearan	abdomcentesis total prote	outcome	surgical lesion	site of lesion	type of lesion	subtype of lesion	pathology_cp_data
_1	_1	_529427	37.20	60.00	30.52	_2	_1	_1	_1	_3	_3	_3	_2	_1	4.96	_4	_5	43.00	6.60	?	2.95	_1	_1	_2209	_0	_0	_2
_1	_1	_529663	38.20	64.00	28.00	_1	_1	_1	_1	_3	_1	?	?	?	4.96	_4	_4	49.00	8.60	_2	6.60	_1	_1	_2208	_0	_0	_1
_1	_1	_529796	38.13	100.00	30.00	_3	_3	_4	_2	_5	_4	_4	_3	_3	4.96	_4	_4	52.00	6.60	?	2.95	_1	_1	_1124	_0	_0	_2
_2	_1	_528812	38.13	104.00	24.00	_4	_3	_3	_2	_4	_4	_3	?	_3	4.96	?	_2	73.00	8.40	?	2.95	_3	_1	_7111	_0	_0	_2
_2	_1	_529493	38.30	112.00	16.00	?	_3	_5	_2	?	?	_1	_1	_2	4.96	?	_5	51.00	6.00	_2	1.00	_3	_2	_5205	_0	_0	_1
_1	_1	_533847	37.80	72.00	30.52	?	_3	?	_1	_5	_3	_1	?	_1	4.96	_1	_1	56.00	80.00	_1	2.00	_1	_1	_3111	_0	_0	_2
_2	_1	_528996	38.60	52.00	30.52	_1	_1	_1	_1	_3	_3	_2	_1	_1	4.96	_1	_3	32.00	6.60	_1	5.00	_1	_2	_0	_0	_0	_1
_1	_9	_5277410	39.20	146.00	96.00	?	?	?	?	?	?	?	?	?	4.96	?	?	45.66	24.77	?	2.95	_2	_1	_2113	_0	_0	_2
_1	_1	_529498	38.13	88.00	30.52	_3	_3	_6	_2	_5	_3	_3	_1	_3	4.96	_4	_5	63.00	6.50	_3	2.95	_2	_1	_4205	_0	_0	_2
_2	_9	_5288250	39.00	150.00	72.00	?	?	?	?	?	?	?	?	?	4.96	?	?	47.00	8.50	?	0.10	_1	_1	_9400	_0	_0	_1
_2	_1	_530301	38.00	60.00	12.00	_3	_1	_3	_1	_3	_3	_1	_1	_1	4.96	_2	_2	47.00	7.00	?	2.95	_1	_2	_3111	_0	_0	_2
_1	_1	_534069	38.13	120.00	30.52	_3	_4	_4	_1	_4	_4	_4	_1	_1	4.96	?	_5	52.00	67.00	_2	2.00	_3	_1	_3205	_0	_0	_2
_1	_1	_535407	35.40	140.00	24.00	_3	_3	_4	_2	_4	_4	?	_2	_1	4.96	?	_5	57.00	69.00	_3	2.00	_3	_1	_3205	_0	_0	_2
_2	_1	_529827	38.13	120.00	30.52	_4	_3	_4	_2	_5	_4	_4	_1	_1	4.96	_4	_5	60.00	6.50	_3	2.95	_2	_1	_3205	_0	_0	_2
_1	_1	_529888	37.90	60.00	15.00	_3	?	_4	_2	_5	_4	_4	_2	_2	4.96	_4	_5	65.00	7.50	?	2.95	_1	_1	_2305	_0	_0	_1
_2	_1	_529821	37.50	48.00	16.00	_1	_1	_1	_1	_1	_1	_1	_1	_1	4.96	_1	?	37.00	6.50	?	2.95	_1	_2	_0	_0	_0	_2
_1	_1	_528890	38.90	80.00	44.00	_3	_3	_3	_2	_2	_3	_3	_2	_2	7.00	_3	_1	54.00	6.50	_3	2.95	_2	_1	_7111	_0	_0	_2
_2	_1	_529642	37.20	84.00	48.00	_3	_3	_5	_2	_4	_1	_2	_1	_2	4.96	_2	_1	73.00	5.50	_2	4.10	_2	_2	_4300	_0	_0	_1
_2	_1	_529766	38.60	46.00	30.52	_1	_1	_2	_1	_1	_3	_2	_1	_1	4.96	?	_2	49.00	9.10	_1	1.60	_1	_2	_3111	_0	_0	_1
_1	_1	_527706	37.40	84.00	36.00	_1	?	_3	_2	_3	_3	_2	?	?	4.96	_4	_5	45.66	24.77	_3	2.95	_2	_1	_7209	_0	_0	_1
_2	_1	_529483	38.13	70.76	30.52	_1	_1	_3	_1	_1	_3	_1	?	?	4.96	_2	_2	43.00	7.70	?	2.95	_1	_2	_3111	_0	_0	_2
_2	_1	_530544	38.60	40.00	20.00	?	?	?	_1	?	?	?	?	?	4.96	?	?	41.00	6.40	?	2.95	_1	_2	_3111	_0	_0	_1
_2	_1	_529461	40.30	114.00	36.00	_3	_3	_1	_2	_2	_3	_3	_2	_1	7.00	_1	_5	57.00	8.10	_3	4.50	_3	_1	_7400	_0	_0	_1
_1	_9	_5282840	38.60	160.00	20.00	_3	?	_5	_1	_3	_3	_4	_3	?	4.96	_4	?	38.00	24.77	_2	2.95	_2	_1	_7111	_0	_0	_1
_1	_1	_528872	38.13	70.76	30.52	?	?	?	?	?	?	?	?	?	4.96	?	?	24.00	6.70	?	2.95	_1	_1	_3112	_0	_0	_2
_1	_1	_529640	38.13	64.00	36.00	_2	?	_2	_1	_5	_3	_3	_2	_2	4.96	?	?	42.00	7.70	?	2.95	_2	_1	_3209	_0	_0	_2
_1	_1	_528298	38.13	70.76	20.00	_4	_3	_3	?	_5	_4	_3	_2	?	4.96	_4	_4	53.00	5.90	_3	2.95	_2	_1	_3205	_0	_0	_1
_2	_1	_528904	38.13	96.00	30.52	_3	_3	_3	_2	_5	_4	_4	_1	_2	4.96	_4	_5	60.00	24.77	?	2.95	_2	_1	_4205	_0	_0	_2
_2	_1	_530438	37.80	48.00	32.00	_1	_1	_3	_1	_2	_1	?	_1	_1	4.96	_4	_5	37.00	6.70	?	2.95	_1	_2	_2124	_0	_0	_2
_2	_1	_527957	38.50	60.00	30.52	_2	_2	_1	_1	_1	_2	_2	_2	_1	4.96	_1	_1	44.00	7.70	?	2.95	_1	_2	_0	_0	_0	_2
_1	_1	_528630	37.80	88.00	22.00	_2	_1	_2	_1	_3	?	?	_2	?	4.96	_4	?	64.00	8.00	_1	6.00	_2	_1	_3205	_0	_0	_1
_2	_1	_534293	38.20	130.00	16.00	_4	_3	_4	_2	_2	_4	_4	_1	_1	4.96	?	?	65.00	82.00	_2	2.00	_3	_2	_2209	_1400	_0	_2
_1	_1	_529667	39.00	64.00	36.00	_3	_1	_4	_2	_3	_3	_2	_1	_2	7.00	_4	_5	44.00	7.50	_3	5.00	_1	_1	_2113	_0	_0	_1
_1	_1	_534885	38.13	60.00	36.00	_3	_1	_3	_1	_3	_3	_2	_1	_1	4.96	_3	_4	26.00	72.00	_2	1.00	_1	_1	_2208	_0	_0	_2
_2	_1	_534784	37.90	72.00	30.52	_1	_1	_5	_2	_3	_3	_1	_1	_3	2.00	_3	_4	58.00	74.00	_1	2.00	_1	_1	_2322	_0	_0	_2
_2	_1	_528931	38.40	54.00	24.00	_1	_1	_1	_1	_1	_3	_1	_2	_1	4.96	_3	_2	49.00	7.20	_1	2.95	_1	_2	_3111	_0	_0	_1
_2	_1	_529777	38.13	52.00	16.00	_1	?	_3	_1	?	?	?	_2	_3	5.50	?	?	55.00	7.20	?	2.95	_1	_2	_2124	_0	_0	_2
_2	_1	_530276	38.00	48.00	12.00	_1	_1	_1	_1	_1	_3	?	_1	_1	4.96	_3	_2	42.00	6.30	_2	4.10	_1	_2	_3111	_0	_0	_1
_2	_1	_528214	37.00	60.00	20.00	_3	?	?	_1	_3	?	_3	_2	_2	4.50	_4	_4	43.00	7.60	?	2.95	_3	_1	_2209	_0	_0	_1
_1	_1	_529424	37.80	48.00	28.00	_1	_1	_1	_1	_1	_2	_1	_2	?	4.96	_1	_1	46.00	5.90	_2	7.00	_1	_2	_0	_0	_0	_1
_1	_1	_5299250	37.70	56.00	30.52	?	?	?	?	?	?	?	?	?	4.96	?	?	45.66	24.77	?	2.95	_2	_1	_2113	_0	_0	_2
_1	_1	_528469	38.10	52.00	24.00	_1	_1	_5	_1	_4	_3	_1	_2	_3	7.00	_1	?	54.00	7.50	_2	2.60	_2	_1	_2112	_0	_0	_1
_1	_9	_5292930	38.13	70.76	30.52	?	?	?	?	?	?	?	?	?	4.96	?	?	37.00	4.90	?	2.95	_2	_1	_11124	_0	_0	_2
_1	_9	_534092	39.70	100.00	30.52	_3	_3	_5	_2	_2	_3	?	?	?	4.96	?	?	48.00	57.00	_2	2.00	_3	_1	_1400	_0	_0	_2
_1	_1	_534615	37.60	38.00	20.00	_3	_3	_1	_1	_3	_3	_2	?	?	4.96	_3	?	37.00	68.00	?	2.95	_1	_1	_3205	_0	_0	_2
_2	_1	_534753	38.70	52.00	20.00	_2	?	_1	_1	_1	_1	_1	_1	_1	4.96	_1	_1	33.00	77.00	?	2.95	_1	_2	_0	_0	_0	_2
_1	_1	_530693	38.13	70.76	30.52	_3	_3	_3	_3	_5	_3	_3	_3	_2	4.96	_4	_5	46.00	5.90	?	2.95	_2	_1	_3025	_0	_0	_2
_1	_1	_527463	37.50	96.00	18.00	_1	_3	_6	_2	_3	_4	_2	_2	_3	5.00	?	_4	69.00	8.90	_3	2.95	_1	_1	_2208	_0	_0	_1
_1	_1	_527518	36.40	98.00	35.00	_3	_3	_4	_1	_4	_3	_2	?	?	4.96	_4	_4	47.00	6.40	_3	3.60	_2	_1	_2205	_0	_0	_1
_1	_1	_534756	37.30	40.00	30.52	?	_3	_1	_1	_2	_3	_2	_3	_1	4.96	_3	_5	36.00	24.77	_3	2.00	_1	_1	_3111	_0	_0	_2
_1	_9	_5290760	38.10	100.00	80.00	_3	_1	_2	_1	_3	_4	_1	?	?	4.96	_1	?	36.00	5.70	?	2.95	_1	_1	_3111	_0	_0	_2
_1	_1	_5279820	38.00	70.76	24.00	_3	_3	_6	_2	_5	?	_4	_1	_1	4.96	?	?	68.00	7.80	?	2.95	_2	_1	_3205	_0	_0	_2
_1	_1	_529849	37.80	60.00	80.00	_1	_3	_2	_2	_2	_3	_3	?	_2	5.50	_4	?	40.00	4.50	_2	2.95	_1	_1	_5206	_0	_0	_1
_2	_1	_529304	38.00	54.00	30.00	_2	_3	_3	_3	_3	_1	_2	_2	_2	4.96	?	_4	45.00	6.20	?	2.95	_1	_2	_400	_0	_0	_2
_1	_1	_529388	38.13	88.00	40.00	_3	_3	_4	_2	_5	_4	_3	_3	?	4.96	_4	_5	50.00	7.70	_3	1.40	_2	_1	_4205	_0	_0	_1
_2	_1	_528006	38.13	40.00	16.00	?	?	?	_1	?	?	?	?	?	4.96	?	?	50.00	7.00	_2	3.90	_3	_1	_2208	_0	_0	_1
_2	_1	_529703	39.00	64.00	40.00	_1	_1	_5	_1	_3	_3	_2	_2	_1	4.96	_3	_3	42.00	7.50	_2	2.30	_1	_2	_5000	_0	_0	_1
_2	_1	_535381	38.30	42.00	10.00	_1	_1	_1	_1	_1	_1	_1	?	?	4.96	?	?	38.00	61.00	?	2.95	_1	_2	_0	_0	_0	_2
_2	_1	_534197	38.00	52.00	16.00	?	?	?	?	_2	?	?	?	_3	1.00	_1	_1	53.00	86.00	?	2.95	_1	_1	_2322	_0	_0	_2
_2	_1	_529461	40.30	114.00	36.00	_3	_3	_1	_2	_2	_3	_3	_2	_1	7.00	_1	_5	57.00	8.10	_3	4.50	_2	_1	_3205	_0	_0	_1
_2	_1	_530251	38.80	50.00	20.00	_3	_1	_1	_1	_1	_1	_1	_2	_1	4.96	_3	_1	42.00	6.20	?	2.95	_1	_2	_0	_0	_0	_2
_2	_1	_530310	38.13	70.76	30.52	_3	_3	_1	_1	_5	_3	_3	_1	_1	4.96	_4	_5	38.00	6.50	?	2.95	_2	_1	_3205	_0	_0	_2
_2	_1	_528729	37.50	48.00	30.00	_4	_1	_3	_1	?	_2	_1	_1	_1	4.96	_1	_1	48.00	8.60	?	2.95	_1	_2	_0	_0	_0	_2
_1	_1	_535158	37.30	48.00	20.00	?	_1	_2	_1	_3	_3	_3	_2	_1	4.96	_3	_5	41.00	69.00	?	2.95	_1	_1	_3205	_0	_0	_2
_2	_1	_530319	38.13	84.00	36.00	?	?	_3	_1	?	_3	_1	_2	_1	4.96	_3	_2	44.00	8.50	?	2.95	_1	_1	_3111	_0	_0	_2
_1	_1	_534145	38.10	88.00	32.00	_3	_3	_4	_1	_2	_3	_3	?	_3	1.00	_4	_5	55.00	60.00	?	2.95	_3	_2	_3205	_0	_0	_2
_2	_1	_534135	37.70	44.00	40.00	_2	_1	_3	_1	_1	_3	_2	_1	_1	4.96	_1	_5	41.00	60.00	?	2.95	_1	_2	_0	_0	_0	_2
_2	_1	_530002	39.60	108.00	51.00	_3	_3	_6	_2	_2	_4	_3	_1	_2	4.96	_3	_5	59.00	8.00	_2	2.60	_1	_2	_4300	_0	_0	_1
_1	_1	_535364	38.20	40.00	16.00	_3	_3	_1	_1	_1	_3	?	?	?	4.96	_1	_1	34.00	66.00	?	2.95	_1	_2	_0	_0	_0	_2
_1	_1	_534899	38.13	60.00	20.00	_4	_3	_4	_2	_5	_4	?	?	_1	4.96	_4	_5	45.66	24.77	?	2.95	_3	_1	_3205	_0	_0	_2
_2	_1	_534938	38.30	40.00	16.00	_3	?	_1	_1	_2	?	?	?	?	4.96	?	?	37.00	57.00	?	2.95	_1	_2	_0	_0	_0	_2
_1	_9	_5292490	38.00	140.00	68.00	_1	_1	_1	_1	_3	_3	_2	?	?	4.96	_2	_1	39.00	5.30	?	2.95	_1	_1	_7111	_0	_0	_2
_1	_1	_527563	37.80	52.00	24.00	_1	_3	_3	_1	_4	_4	_1	_2	_3	5.70	_2	_5	48.00	6.60	_1	3.70	_2	_1	_5400	_0	_0	_2
_1	_1	_530381	38.13	70.00	36.00	_1	?	_3	_2	_2	_3	_2	_2	?	4.96	_4	_5	36.00	7.30	?	2.95	_1	_1	_31110	_0	_0	_2
_1	_1	_528668	38.30	52.00	96.00	?	_3	_3	_1	?	?	?	_1	_1	4.96	_1	?	43.00	6.10	?	2.95	_1	_1	_3209	_0	_0	_1
_2	_1	_529764	37.30	50.00	32.00	_1	_1	_3	_1	_1	_3	_2	?	?	4.96	_1	?	44.00	7.00	?	2.95	_1	_2	_0	_0	_0	_2
_1	_1	_533696	38.70	60.00	32.00	_4	_3	_2	_2	_4	_4	_4	?	?	4.96	_4	_5	53.00	64.00	_3	2.00	_3	_1	_3205	_0	_0	_2
_1	_9	_5297380	38.40	84.00	40.00	_3	_3	_2	_1	_3	_3	_3	_1	_1	4.96	?	?	36.00	6.60	_2	2.80	_2	_1	_2205	_0	_0	_1
_1	_1	_527544	38.13	70.00	16.00	_3	_4	_5	_2	_2	_3	_2	_2	_1	4.96	_4	_5	60.00	7.50	?	2.95	_2	_1	_2112	_0	_0	_2
_1	_1	_533736	38.30	40.00	16.00	_3	?	?	_1	_1	_3	_2	?	?	4.96	?	?	38.00	58.00	_1	2.00	_1	_1	_3111	_7111	_0	_2
_1	_1	_534963	38.13	40.00	30.52	_2	_1	_1	_1	_1	_3	_1	_1	_1	4.96	?	_5	39.00	56.00	?	2.95	_1	_1	_3111	_0	_0	_2
_1	_1	_527933	36.80	60.00	28.00	?	?	?	?	?	?	?	?	?	4.96	?	?	45.66	24.77	?	10.00	_2	_1	_3205	_0	_0	_1
_1	_1	_532349	38.40	44.00	24.00	_3	?	_4	?	_5	_4	_3	_2	_1	4.96	_4	_5	50.00	77.00	?	2.95	_1	_1	_3205	_0	_0	_2
_2	_1	_533723	38.13	70.76	40.00	_3	_1	_1	_1	_3	_3	_2	?	?	4.96	?	?	45.00	70.00	?	2.95	_1	_2	_0	_0	_0	_2
_1	_1	_535208	38.00	44.00	12.00	_1	_1	_1	_1	_3	_3	_3	_2	_1	4.96	_4	_5	42.00	65.00	?	2.95	_1	_1	_3205	_3111	_0	_2
_2	_1	_5290480	39.50	70.76	30.52	_3	_3	_4	_2	_3	_4	_3	?	_3	5.50	_4	_5	45.66	6.70	_1	2.95	_3	_1	_4205	_0	_0	_2
_1	_1	_533983	36.50	78.00	30.00	_1	?	_1	_1	_5	_3	_1	?	_1	4.96	?	?	34.00	75.00	_2	1.00	_1	_1	_3112	_6112	_0	_2
_2	_1	_535166	38.10	56.00	20.00	_2	_1	_2	_1	_1	_3	_1	_1	_1	4.96	?	?	46.00	70.00	?	2.95	_1	_2	_0	_0	_0	_2
_1	_1	_528682	39.40	54.00	66.00	_1	_1	_2	_1	_2	_3	_2	_1	_1	4.96	_3	_4	39.00	6.00	_2	2.95	_1	_1	_2206	_0	_0	_1
_1	_1	_534556	38.30	80.00	40.00	?	?	_6	_2	_4	_3	_1	?	_2	4.96	_1	_4	67.00	10.20	_2	1.00	_3	_1	_2208	_0	_0	_2
_2	_1	_534579	38.70	40.00	28.00	_2	_1	_1	_1	_3	_1	_1	?	?	4.96	_1	?	39.00	62.00	_1	1.00	_1	_2	_0	_0	_0	_2
_1	_1	_530360	38.20	64.00	24.00	_1	_1	_3	_1	_4	_4	_3	_2	_1	4.96	_4	_4	45.00	7.50	_1	2.00	_2	_1	_3205	_0	_0	_1
_2	_1	_529840	37.60	48.00	20.00	_3	_1	_4	_1	_1	_1	_3	_2	_1	4.96	_1	_1	37.00	5.50	?	2.95	_3	_1	_2205	_0	_0	_2
_1	_1	_528461	38.00	42.00	68.00	_4	_1	_1	_1	_3	_3	_2	_2	_2	4.96	_4	_4	41.00	7.60	?	2.95	_1	_1	_2205	_0	_0	_2
_1	_1	_530384	38.70	70.76	30.52	_3	_1	_3	_1	_5	_4	_2	?	?	4.96	?	?	33.00	6.50	_2	2.95	_1	_1	_31110	_0	_0	_2
_1	_1	_5262540	37.40	50.00	32.00	_3	_3	?	_1	_4	_4	_1	_2	_1	4.96	_1	?	45.00	7.90	_2	1.00	_1	_1	_2208	_0	_0	_1
_1	_1	_535330	37.40	84.00	20.00	?	?	_3	_1	_2	_3	_3	?	?	4.96	?	?	31.00	61.00	?	1.00	_3	_2	_2208	_0	_0	_2
_1	_1	_527698	38.40	49.00	30.52	?	?	_1	_1	?	?	_1	_2	_1	4.96	?	?	44.00	7.60	?	2.95	_1	_1	_2206	_0	_0	_2
_1	_1	_528964	37.80	30.00	12.00	?	?	?	?	?	?	?	?	?	4.96	?	?	45.66	24.77	?	2.95	_2	_1	_2113	_0	_0	_2
_2	_1	_530670	37.60	88.00	36.00	_3	_1	_1	_1	_3	_3	_2	_1	_3	1.50	?	?	44.00	6.00	?	2.95	_2	_1	_1400	_0	_0	_2
?	_1	_534572	38.00	48.00	20.00	_3	_1	_3	_1	_4	_3	_1	_2	_1	4.96	_3	_5	43.00	73.00	_2	1.00	?	_1	_3111	_0	_0	_2
_2	_1	_530294	37.90	40.00	24.00	_1	_1	_1	_1	_2	_3	_1	?	?	4.96	?	_3	40.00	5.70	?	2.95	_1	_1	_400	_0	_0	_2
_1	_1	_527524	38.13	100.00	30.52	_3	?	_4	_2	_5	_4	?	_2	?	4.96	_2	?	59.00	6.30	?	2.95	_2	_1	_4205	_0	_0	_2
_1	_9	_5287180	38.10	136.00	48.00	_3	_3	_3	_1	_5	_1	_3	_2	_2	4.40	_2	?	33.00	4.90	_2	2.90	_2	_1	_2205	_0	_0	_1
_1	_1	_530693	38.13	70.76	30.52	_3	_3	_3	_2	_5	_3	_3	_3	_2	4.96	_4	_5	46.00	5.90	?	2.95	_2	_1	_3025	_0	_0	_2
_1	_1	_534324	38.00	48.00	30.52	_1	_1	_1	_1	_1	_2	_4	_2	_2	4.96	_4	_5	45.66	24.77	?	2.95	_1	_1	_3111	_0	_0	_2
_2	_1	_532349	38.00	56.00	30.52	_1	_2	_3	_1	_1	_1	_1	_1	_1	4.96	_1	_1	42.00	71.00	?	2.95	_1	_2	_0	_0	_0	_2
_2	_1	_534491	38.00	60.00	32.00	_1	_1	?	_1	_3	_3	?	_1	_1	4.96	?	?	50.00	7.00	_1	1.00	_1	_2	_0	_0	_0	_2
_1	_1	_529960	38.10	44.00	9.00	_3	_1	_1	_1	_2	_2	_1	_1	_1	4.96	_4	_5	31.00	7.30	?	2.95	_1	_2	_5124	_0	_0	_2
_2	_1	_522979	36.00	42.00	30.00	?	?	_5	_1	?	?	?	?	?	4.96	?	?	64.00	6.80	?	2.95	_2	_2	_1400	_0	_0	_2
_1	_1	_530402	38.13	120.00	30.52	_4	_3	_6	_2	_5	_4	_4	?	?	4.96	_4	_5	57.00	4.50	_3	3.90	_2	_1	_3205	_0	_0	_1
_1	_1	_529424	37.80	48.00	28.00	_1	_1	_1	_2	_1	_2	_1	_2	?	4.96	_1	_1	46.00	5.90	_2	7.00	_1	_2	_0	_0	_0	_1
_1	_1	_534519	37.10	84.00	40.00	_3	_3	_6	_1	_2	_4	_4	_3	_2	2.00	_4	_5	75.00	81.00	?	2.95	_3	_2	_1400	_0	_0	_2
_2	_1	_535246	38.13	80.00	32.00	_3	_3	_2	_1	_2	_3	_3	_2	_1	4.96	_3	?	50.00	80.00	?	2.95	_1	_1	_0	_0	_0	_2
_1	_1	_534115	38.20	48.00	30.52	_1	_3	_3	_1	_3	_4	_4	_1	_3	2.00	_4	_5	42.00	71.00	?	2.95	_1	_1	_3111	_0	_0	_2
_2	_1	_530001	38.00	44.00	12.00	_2	_1	_3	_1	_3	_4	_3	_1	_2	6.50	_1	_4	33.00	6.50	?	2.95	_2	_1	_2209	_0	_0	_2
_1	_1	_529272	38.30	132.00	30.52	?	_3	_6	_2	_2	_4	_2	_2	_3	6.20	_4	_4	57.00	8.00	?	5.20	_1	_1	_2112	_0	_0	_1
_2	_1	_535314	38.70	48.00	24.00	?	?	?	?	_1	_1	?	_1	_1	4.96	_1	?	34.00	63.00	?	2.95	_1	_2	_0	_0	_0	_2
_2	_1	_533793	38.90	44.00	14.00	_3	_1	_1	_1	_2	_3	_2	?	?	4.96	?	_2	33.00	64.00	?	2.95	_1	_2	_0	_0	_0	_2
