a01	a02	a03	a04	a05	a06	a07	a08	a09	a10	a11	a12	a13	a14	a15	a16	a17	a18	a19	a20	a21	a22	a23	a24	a25	a26	a27	a28	a29	a30	a31	a32	a33	a34	class
1.00	0.00	1.00	0.07	1.00	0.03	1.00	-0.06	1.00	0.09	1.00	0.20	1.00	0.20	1.00	0.13	1.00	0.11	1.00	0.27	1.00	0.45	1.00	0.42	1.00	0.20	1.00	0.37	0.96	0.49	1.00	0.32	1.00	0.47	g
1.00	0.00	0.51	-0.94	1.00	0.27	-0.04	-1.00	1.00	-1.00	0.44	-1.00	0.00	0.00	-1.00	-0.34	-0.38	0.04	1.00	-1.00	0.00	0.00	0.00	0.00	-0.16	0.92	0.40	0.27	0.00	0.00	1.00	0.23	0.00	0.00	b
1.00	0.00	1.00	0.06	1.00	-0.01	0.98	0.02	0.96	0.02	0.99	0.08	0.89	0.10	0.94	0.05	0.89	0.11	0.86	0.09	0.82	0.12	0.84	0.14	0.81	0.13	0.79	0.14	0.79	0.15	0.77	0.16	0.71	0.12	g
0.00	0.00	0.00	0.00	-1.00	-1.00	1.00	1.00	-1.00	1.00	-1.00	1.00	1.00	-1.00	1.00	1.00	-1.00	-1.00	-1.00	1.00	1.00	-1.00	-1.00	1.00	-1.00	1.00	1.00	-1.00	-1.00	1.00	-1.00	-1.00	1.00	-1.00	b
1.00	0.00	0.67	0.03	0.67	0.05	0.57	0.19	0.09	0.34	0.64	0.12	0.62	0.14	0.79	0.11	0.58	0.18	0.14	0.41	0.54	0.21	0.51	0.23	0.49	0.24	0.46	0.25	0.43	0.25	0.41	0.26	1.00	0.33	g
0.00	0.00	1.00	-1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	-1.00	-0.72	1.00	0.00	0.00	-1.00	1.00	1.00	1.00	-1.00	1.00	1.00	0.56	-1.00	1.00	1.00	1.00	1.00	-1.00	1.00	1.00	1.00	1.00	b
1.00	0.00	1.00	-0.01	1.00	-0.10	1.00	-0.08	1.00	-0.11	1.00	-0.11	1.00	-0.39	1.00	-0.16	0.92	-0.32	0.86	-0.35	0.92	-0.44	0.96	-0.47	0.82	-0.40	0.83	-0.42	0.76	-0.38	0.80	-0.41	0.74	-0.45	g
0.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00	-1.00	-1.00	0.00	0.00	0.00	0.00	-1.00	-1.00	-1.00	-1.00	-1.00	1.00	-1.00	1.00	0.00	0.00	0.00	0.00	1.00	-1.00	-1.00	1.00	-1.00	1.00	-1.00	1.00	b
1.00	0.00	0.96	0.07	1.00	0.04	1.00	0.09	0.90	-0.05	0.89	0.03	0.83	-0.06	0.88	0.10	0.77	0.00	0.75	-0.05	0.66	-0.08	0.64	-0.06	0.56	-0.08	0.58	-0.02	0.50	-0.01	0.51	0.00	0.52	0.00	g
0.00	0.00	-1.00	1.00	0.00	0.00	0.00	0.00	-1.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00	1.00	-1.00	-1.00	1.00	1.00	1.00	0.00	0.00	-1.00	-1.00	1.00	-1.00	1.00	1.00	-1.00	1.00	0.00	0.00	b
1.00	0.00	1.00	-0.06	1.00	0.03	1.00	-0.05	1.00	-0.02	1.00	-0.12	0.84	-0.05	0.93	-0.07	0.69	-0.07	0.66	-0.20	0.95	-0.32	0.81	-0.32	0.85	-0.35	0.73	-0.29	0.73	-0.39	0.54	-0.26	0.64	-0.39	g
1.00	0.00	1.00	0.58	1.00	-1.00	1.00	-1.00	1.00	-1.00	1.00	-1.00	1.00	-1.00	1.00	-1.00	1.00	-1.00	1.00	-1.00	1.00	-0.63	1.00	-1.00	1.00	-1.00	1.00	-1.00	1.00	-1.00	1.00	-1.00	1.00	-1.00	b
1.00	0.00	1.00	-0.09	1.00	-0.17	0.87	-0.82	0.95	0.61	0.95	-0.41	0.88	-0.32	0.88	-0.23	0.81	-0.62	0.12	-1.00	0.90	0.11	0.62	-0.79	0.55	-0.83	0.48	-0.87	0.41	-0.90	0.33	-0.92	-0.13	-1.00	g
0.00	0.00	-1.00	-1.00	0.00	0.00	-1.00	1.00	1.00	-0.38	0.00	0.00	0.00	0.00	0.00	0.00	1.00	-1.00	-1.00	-1.00	1.00	-1.00	0.00	0.00	1.00	-1.00	-1.00	1.00	-1.00	-1.00	0.00	0.00	-1.00	1.00	b
1.00	0.00	1.00	0.08	1.00	0.17	1.00	-0.13	0.98	0.65	1.00	0.48	1.00	0.59	1.00	0.71	1.00	0.83	1.00	0.95	1.00	1.00	0.98	1.00	0.92	1.00	0.84	1.00	0.75	1.00	0.64	1.00	0.52	1.00	g
0.00	0.00	-1.00	-1.00	1.00	1.00	1.00	-1.00	-1.00	1.00	1.00	-1.00	-1.00	-1.00	0.00	0.00	1.00	1.00	-1.00	-1.00	1.00	-1.00	1.00	-1.00	1.00	1.00	1.00	-1.00	1.00	-1.00	-1.00	1.00	1.00	-1.00	b
1.00	0.00	1.00	-0.14	1.00	-0.16	1.00	-0.24	1.00	-0.08	1.00	-0.25	1.00	-0.26	1.00	-0.22	1.00	-0.39	1.00	-0.46	1.00	-0.36	1.00	-0.60	1.00	-0.48	0.99	-0.50	1.00	-0.76	1.00	-0.76	1.00	-0.84	g
1.00	0.00	1.00	-1.00	1.00	1.00	1.00	-1.00	1.00	-1.00	1.00	-1.00	1.00	-0.02	1.00	-1.00	1.00	1.00	1.00	-0.86	1.00	1.00	1.00	-1.00	0.00	0.00	1.00	1.00	1.00	-0.79	1.00	1.00	1.00	1.00	b
1.00	0.00	0.88	-0.15	0.93	-0.11	0.92	-0.16	0.88	-0.17	0.88	-0.32	0.85	-0.31	0.82	-0.36	0.81	-0.34	0.75	-0.47	0.71	-0.47	0.66	-0.50	0.61	-0.48	0.57	-0.55	0.50	-0.60	0.47	-0.57	0.42	-0.58	g
1.00	0.00	0.71	-0.03	0.41	-0.23	0.98	-0.09	1.00	-0.10	1.00	-0.11	0.59	1.00	0.84	-1.00	0.82	-0.18	0.81	-0.28	-0.26	0.93	0.52	0.05	0.65	-0.20	0.93	-0.41	0.64	-0.22	0.86	-0.87	-0.23	-1.00	b
1.00	0.00	1.00	-0.16	0.72	0.28	0.83	-0.58	1.00	-0.28	1.00	-0.50	0.80	-0.13	0.77	0.15	1.00	0.39	1.00	0.27	0.96	-0.02	0.93	-0.91	1.00	0.15	1.00	-0.12	1.00	-0.11	1.00	0.53	1.00	-0.58	g
1.00	0.00	0.66	-1.00	1.00	1.00	1.00	-0.67	0.81	-0.40	1.00	-1.00	1.00	-0.89	1.00	0.73	0.18	0.71	1.00	0.78	1.00	0.85	1.00	-1.00	1.00	0.85	1.00	-0.09	0.96	-0.36	1.00	0.65	1.00	0.35	b
1.00	0.00	1.00	0.00	1.00	-0.01	1.00	-0.03	1.00	-0.07	0.98	-0.06	1.00	-0.07	0.97	-0.08	0.93	-0.14	0.94	-0.14	1.00	-0.14	0.95	-0.14	0.89	-0.21	0.89	-0.18	0.86	-0.19	0.84	-0.20	0.84	-0.21	g
0.00	0.00	1.00	1.00	1.00	-1.00	0.00	0.00	0.00	0.00	-1.00	-1.00	0.00	0.00	0.00	0.00	-1.00	1.00	1.00	1.00	-1.00	1.00	-1.00	1.00	1.00	-1.00	1.00	1.00	-1.00	1.00	1.00	1.00	0.00	0.00	b
1.00	0.00	0.91	0.04	0.94	0.02	0.95	0.05	0.94	0.01	0.92	0.06	0.93	0.12	0.92	0.06	0.89	0.13	0.84	0.14	0.81	0.12	0.77	0.14	0.76	0.11	0.74	0.13	0.66	0.15	0.71	0.11	0.65	0.11	g
1.00	0.00	1.00	0.02	1.00	0.05	0.98	0.07	0.62	-1.00	0.91	0.11	0.88	0.54	0.82	0.14	0.77	0.15	1.00	0.41	0.66	0.16	0.60	0.17	0.54	0.16	0.49	0.16	0.43	0.15	0.38	0.15	1.00	1.00	b
1.00	0.00	1.00	0.07	1.00	0.21	1.00	0.26	0.93	0.32	0.87	0.39	0.75	0.50	0.80	0.52	0.66	0.61	0.58	0.63	0.48	0.67	0.41	0.69	0.34	0.72	0.28	0.72	0.19	0.71	0.11	0.73	0.07	0.71	g
1.00	0.00	-1.00	-1.00	1.00	1.00	1.00	-0.14	0.00	0.00	-1.00	1.00	1.00	1.00	0.18	-1.00	-1.00	-1.00	0.09	-1.00	1.00	-1.00	-1.00	1.00	-1.00	-1.00	1.00	-1.00	-1.00	-1.00	1.00	1.00	0.00	0.00	b
1.00	0.00	0.91	0.09	0.87	0.17	1.00	0.17	0.55	0.68	0.70	0.37	0.16	0.43	0.58	0.46	0.51	0.50	0.32	0.13	0.38	0.54	0.31	0.56	0.25	0.57	0.19	0.57	0.13	0.56	0.07	0.55	0.12	0.68	g
1.00	0.00	-0.64	-1.00	1.00	0.83	1.00	-1.00	1.00	-0.23	1.00	0.96	1.00	-0.38	1.00	-1.00	1.00	0.14	1.00	-1.00	1.00	-0.03	-0.84	1.00	0.54	0.86	1.00	1.00	1.00	-1.00	1.00	-1.00	1.00	-1.00	b
1.00	0.00	0.99	-0.06	1.00	-0.13	0.99	-0.19	0.99	-0.26	0.93	-0.30	0.93	-0.38	0.90	-0.44	0.85	-0.52	0.87	-0.57	0.79	-0.60	0.75	-0.65	0.68	-0.68	0.65	-0.73	0.61	-0.75	0.55	-0.80	0.49	-0.83	g
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00	-0.38	-1.00	-1.00	-1.00	0.00	0.00	0.00	0.00	-1.00	-1.00	-1.00	-1.00	-1.00	1.00	1.00	0.00	0.00	0.00	b
1.00	0.00	1.00	-0.04	1.00	-0.07	1.00	-0.11	1.00	-0.10	0.99	-0.14	0.97	-0.22	0.95	-0.25	0.91	-0.34	0.91	-0.32	0.90	-0.35	0.88	-0.38	0.86	-0.43	0.83	-0.43	0.81	-0.43	0.78	-0.48	0.75	-0.50	g
1.00	0.00	0.95	-0.03	-1.00	0.26	-0.36	0.36	0.69	-0.63	1.00	-0.03	-0.29	-0.01	-0.55	0.15	0.92	-0.46	1.00	-0.50	-0.30	-0.31	-0.74	0.37	0.84	-0.47	0.52	-0.58	1.00	-0.61	-0.10	0.20	-0.06	0.42	b
1.00	0.00	0.98	0.01	0.98	-0.04	0.98	-0.06	0.96	-0.07	0.99	-0.05	0.95	-0.11	0.93	-0.13	0.94	-0.12	0.80	-0.19	0.88	-0.17	0.86	-0.19	0.88	-0.20	0.82	-0.21	0.79	-0.24	0.77	-0.23	0.74	-0.24	g
1.00	0.00	0.00	0.00	1.00	0.52	0.00	0.00	0.11	-1.00	0.00	0.00	0.00	0.00	-1.00	-0.22	-0.56	-0.83	0.77	0.63	0.00	0.00	0.53	0.36	-0.90	0.45	1.00	-1.00	-1.00	0.82	0.00	0.00	0.00	0.00	b
1.00	0.00	0.84	-0.18	0.44	0.03	0.93	0.00	0.88	0.14	0.81	-0.02	0.89	0.55	0.92	-0.57	0.75	-0.30	0.87	-0.20	1.00	1.00	0.47	-0.16	0.90	-0.03	0.93	-0.01	0.62	-0.32	0.84	-0.26	0.93	-0.01	g
0.00	0.00	1.00	1.00	1.00	-1.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	1.00	-1.00	-1.00	1.00	-1.00	-1.00	1.00	0.00	0.00	1.00	-1.00	1.00	-1.00	1.00	1.00	-1.00	-1.00	0.00	0.00	0.00	0.00	b
1.00	0.00	1.00	1.00	1.00	1.00	0.91	1.00	-0.27	1.00	-0.83	1.00	-1.00	1.00	-1.00	0.73	-1.00	-0.58	-1.00	-0.42	-1.00	-1.00	-0.53	-1.00	0.90	-1.00	1.00	-1.00	1.00	-1.00	1.00	-0.35	1.00	0.35	g
1.00	0.00	-0.68	-1.00	-1.00	1.00	1.00	0.63	0.04	-1.00	-1.00	-1.00	1.00	1.00	0.89	-1.00	-1.00	1.00	0.84	1.00	1.00	-1.00	-1.00	-1.00	-0.19	1.00	1.00	-1.00	-1.00	-1.00	-1.00	1.00	1.00	0.34	b
1.00	0.00	0.96	0.08	0.97	-0.06	0.97	-0.08	0.96	-0.07	0.95	0.01	0.95	-0.17	0.95	-0.19	1.00	-0.32	0.90	-0.36	0.91	-0.27	0.90	-0.30	1.00	-0.41	0.87	-0.35	0.92	-0.31	0.84	-0.39	0.82	-0.41	g
1.00	0.00	0.08	-0.21	-1.00	1.00	-1.00	1.00	0.72	0.47	-0.82	-0.63	-1.00	-1.00	-1.00	1.00	-0.03	0.59	-0.42	-0.42	-0.75	-1.00	-1.00	-0.47	-1.00	0.24	1.00	-1.00	-1.00	-0.39	-1.00	-1.00	-1.00	0.61	b
1.00	0.00	1.00	-0.02	1.00	-0.04	1.00	-0.07	1.00	-0.09	1.00	0.56	1.00	-0.13	1.00	-0.15	1.00	0.32	1.00	-0.18	0.99	-0.19	0.96	-0.20	1.00	-0.92	0.87	-0.22	0.83	-0.22	0.78	-0.23	0.74	-0.23	g
0.00	0.00	-1.00	1.00	1.00	-1.00	-1.00	1.00	0.00	0.00	1.00	1.00	-1.00	-0.19	1.00	1.00	-1.00	-1.00	1.00	-1.00	-1.00	-1.00	1.00	1.00	1.00	-1.00	1.00	1.00	1.00	1.00	0.00	0.00	-1.00	-1.00	b
1.00	0.00	1.00	0.06	0.95	0.07	1.00	0.13	1.00	-0.02	0.95	0.07	0.96	0.15	0.95	0.11	0.91	0.20	0.97	0.16	1.00	0.14	0.91	0.16	0.92	0.22	0.88	0.24	0.89	0.23	0.78	0.30	0.84	0.31	g
1.00	0.00	0.17	-1.00	-1.00	1.00	0.00	0.00	0.00	0.00	-1.00	1.00	0.00	0.00	-0.61	-0.68	0.81	0.36	0.52	0.14	0.00	0.00	-1.00	-0.27	-0.85	0.96	1.00	1.00	-1.00	0.68	0.00	0.00	0.00	0.00	b
1.00	0.00	1.00	0.10	1.00	0.12	1.00	0.23	0.99	0.09	0.95	0.19	0.93	0.24	0.89	0.28	0.86	0.27	0.84	0.33	0.83	0.32	0.75	0.40	0.76	0.35	0.68	0.43	0.63	0.46	0.57	0.47	0.54	0.51	g
1.00	0.00	0.02	-0.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	-0.55	0.23	0.83	1.00	-0.42	0.00	0.00	0.08	-1.00	-0.11	-0.17	1.00	-0.77	-1.00	0.19	0.00	0.00	1.00	-0.27	b
1.00	0.00	1.00	0.17	0.99	0.16	0.95	0.33	0.92	0.23	0.91	0.37	0.84	0.47	0.81	0.49	0.78	0.48	0.65	0.57	0.57	0.58	0.56	0.65	0.48	0.55	0.43	0.69	0.36	0.76	0.34	0.67	0.22	0.79	g
1.00	0.00	0.64	1.00	0.21	-1.00	1.00	1.00	0.88	0.31	-0.67	1.00	-0.06	0.59	0.02	0.05	-0.52	-1.00	0.14	-0.03	0.33	-0.44	-1.00	1.00	0.81	-1.00	1.00	-0.06	1.00	1.00	0.21	-1.00	1.00	1.00	b
1.00	0.00	1.00	-0.41	1.00	0.76	0.87	0.19	1.00	-0.10	0.94	0.48	0.65	-0.16	1.00	0.01	0.98	-0.50	0.80	-0.24	0.88	-0.19	1.00	-0.12	0.94	0.11	0.93	-0.07	1.00	-0.27	0.44	0.20	0.51	-0.05	g
1.00	0.00	0.85	0.11	1.00	0.39	1.00	-1.00	0.67	0.08	1.00	0.27	1.00	0.61	1.00	0.36	1.00	0.03	0.58	-0.43	1.00	0.63	0.89	0.27	0.91	-0.33	1.00	0.16	0.38	-0.02	1.00	0.22	1.00	0.37	b
1.00	0.00	1.00	0.28	1.00	0.02	1.00	0.08	1.00	0.04	0.99	0.33	1.00	0.05	1.00	0.04	0.96	-0.25	0.84	-0.09	1.00	0.04	1.00	0.27	1.00	-0.39	0.96	-0.02	0.87	0.23	0.95	-0.22	0.80	-0.07	g
0.00	0.00	1.00	-1.00	1.00	-1.00	1.00	-1.00	1.00	-1.00	1.00	1.00	1.00	1.00	1.00	-1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	-1.00	1.00	-1.00	1.00	-1.00	1.00	0.66	0.00	0.00	1.00	-1.00	b
1.00	0.00	1.00	0.68	0.81	0.82	0.43	1.00	0.21	0.81	-0.44	1.00	-0.79	0.77	-1.00	0.40	-0.39	-0.59	-0.98	-0.43	-0.73	-0.76	-0.38	-0.97	0.41	-1.00	0.42	-0.93	0.26	-1.00	0.94	-0.35	0.99	0.03	g
1.00	0.00	1.00	1.00	1.00	-1.00	1.00	-1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	-1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.50	0.00	0.00	1.00	-1.00	1.00	-1.00	b
1.00	0.00	1.00	0.04	1.00	0.18	1.00	0.27	1.00	0.25	1.00	0.29	1.00	0.39	1.00	0.32	1.00	0.66	1.00	0.54	1.00	0.61	1.00	0.59	0.90	0.68	0.90	0.71	0.86	0.67	0.74	0.86	0.71	0.76	g
0.00	0.00	1.00	-1.00	1.00	1.00	-1.00	-1.00	1.00	-1.00	0.00	0.00	0.00	0.00	-1.00	1.00	1.00	-1.00	1.00	-1.00	-0.75	1.00	1.00	-1.00	1.00	-1.00	1.00	-1.00	-1.00	-1.00	0.00	0.00	1.00	-1.00	b
1.00	0.00	0.96	0.09	0.97	0.19	0.96	0.27	0.98	0.35	0.93	0.46	0.86	0.53	0.83	0.59	0.73	0.69	0.69	0.73	0.54	0.69	0.48	0.76	0.41	0.75	0.33	0.84	0.25	0.86	0.14	0.87	0.09	0.86	g
1.00	0.00	0.69	0.39	0.00	0.00	-0.33	0.70	0.00	0.00	0.00	0.00	0.00	0.00	0.21	-0.24	0.21	0.19	0.46	0.78	0.00	0.00	0.00	0.00	0.73	0.27	0.76	0.63	0.00	0.00	0.00	0.00	0.00	0.00	b
1.00	0.00	1.00	0.05	1.00	0.11	1.00	0.19	1.00	0.28	1.00	0.35	1.00	0.38	0.95	0.43	0.89	0.50	0.76	0.59	0.81	0.60	0.80	0.63	0.67	0.64	0.59	0.69	0.50	0.73	0.47	0.72	0.33	0.75	g
0.00	0.00	1.00	1.00	0.00	0.00	1.00	-1.00	1.00	-1.00	1.00	1.00	1.00	1.00	1.00	-1.00	1.00	1.00	1.00	1.00	1.00	-1.00	-1.00	-1.00	1.00	-1.00	1.00	-1.00	1.00	1.00	0.00	0.00	1.00	-1.00	b
1.00	0.00	1.00	0.04	1.00	0.12	1.00	0.16	1.00	0.28	0.99	0.31	0.93	0.38	0.91	0.40	0.82	0.46	0.79	0.47	0.79	0.56	0.70	0.58	0.67	0.60	0.59	0.61	0.54	0.61	0.45	0.64	0.40	0.63	g
0.00	0.00	1.00	1.00	1.00	-1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	-1.00	-1.00	1.00	-1.00	1.00	-1.00	1.00	1.00	-1.00	1.00	1.00	-1.00	1.00	-1.00	-1.00	-1.00	1.00	b
1.00	0.00	1.00	0.24	1.00	0.49	1.00	0.73	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.77	1.00	1.00	1.00	1.00	0.74	1.00	0.90	1.00	0.65	1.00	0.38	1.00	0.11	1.00	-0.17	1.00	-0.81	1.00	g
0.00	0.00	1.00	1.00	1.00	-1.00	1.00	1.00	-1.00	1.00	0.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00	-1.00	1.00	-1.00	1.00	1.00	1.00	1.00	-1.00	1.00	1.00	1.00	1.00	1.00	-1.00	-1.00	1.00	b
1.00	0.00	1.00	-0.07	1.00	0.63	1.00	0.10	1.00	0.20	1.00	-1.00	1.00	-0.41	1.00	-0.16	1.00	0.05	1.00	-0.62	1.00	-0.27	1.00	-1.00	1.00	-0.58	1.00	-0.81	1.00	-1.00	1.00	-0.79	1.00	-0.48	g
0.00	0.00	1.00	-1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	-1.00	1.00	-1.00	1.00	1.00	1.00	-1.00	1.00	1.00	1.00	1.00	1.00	-1.00	1.00	1.00	1.00	-1.00	1.00	1.00	1.00	-1.00	b
1.00	0.00	0.92	0.08	0.93	0.16	0.90	0.25	0.84	0.35	0.79	0.42	0.71	0.47	0.71	0.56	0.60	0.64	0.51	0.65	0.40	0.67	0.34	0.68	0.24	0.76	0.19	0.74	0.10	0.71	0.03	0.77	-0.04	0.70	g
1.00	0.00	0.68	-0.17	0.82	0.22	0.47	0.33	0.26	0.58	1.00	-0.15	0.01	0.45	0.01	0.39	0.19	0.41	0.11	0.36	0.04	0.31	0.00	0.25	-0.03	0.19	-0.04	0.14	-0.05	0.10	-0.05	0.07	-0.04	0.05	b
1.00	0.00	0.75	-0.03	0.66	-0.05	0.81	0.03	0.86	0.03	0.63	0.09	0.72	0.08	0.73	0.05	0.79	-0.28	0.66	-0.01	0.79	0.07	0.35	-0.19	0.65	0.03	0.61	-0.07	0.54	-0.21	0.59	-0.14	0.56	0.03	g
1.00	0.00	0.39	-0.06	0.97	0.04	1.00	1.00	0.36	0.15	0.54	0.13	0.62	-0.82	0.58	0.68	0.67	-0.10	0.47	-0.12	0.66	0.15	0.83	0.46	0.47	0.16	0.49	0.15	0.32	-0.03	0.39	0.14	0.34	0.13	b
1.00	0.00	0.68	0.05	0.77	-0.11	0.77	0.04	0.66	-0.05	0.65	0.01	0.67	-0.14	0.72	-0.02	0.77	0.09	0.62	-0.08	0.76	-0.24	0.74	-0.15	0.85	-0.15	0.74	-0.06	0.67	0.02	0.86	0.04	0.73	0.01	g
1.00	0.00	0.73	-0.05	0.89	0.03	1.00	0.73	0.66	-0.06	0.48	-0.17	0.82	0.10	0.57	1.00	0.50	0.22	0.67	0.10	1.00	-0.30	0.99	-1.00	0.57	0.33	0.57	0.15	0.42	0.08	0.49	0.15	1.00	1.00	b
1.00	0.00	0.58	-0.02	0.40	0.00	0.38	0.13	0.40	-0.06	0.56	0.14	0.47	0.08	0.53	-0.05	0.58	0.02	0.50	0.00	0.46	0.07	0.58	0.08	0.50	0.00	0.49	0.10	0.46	0.08	0.45	0.24	0.43	0.17	g
1.00	0.00	0.42	0.12	0.35	0.13	0.23	0.28	-0.04	0.44	0.05	0.36	-0.19	0.34	-0.13	0.27	0.03	0.40	-0.35	0.13	-0.20	0.05	-0.19	0.36	-0.14	-0.05	-0.10	-0.07	-1.00	-1.00	-0.03	-0.07	-0.01	-0.06	b
1.00	0.00	0.88	-0.22	1.00	0.36	0.82	0.19	0.85	0.06	0.91	-0.04	0.85	0.25	0.78	0.25	0.69	0.58	0.71	0.39	0.73	0.28	1.00	0.35	0.57	0.52	0.70	0.53	0.81	0.59	0.43	0.71	0.52	0.54	g
1.00	0.00	0.85	-0.09	-0.32	-0.81	-0.09	-0.56	0.81	0.05	0.90	-0.01	-0.18	0.64	-0.20	-0.68	0.86	-0.11	0.78	-0.16	-0.07	0.51	-0.34	0.81	0.79	-0.04	0.71	-0.25	0.78	-0.14	-0.21	-0.78	-0.18	-0.60	b
1.00	0.00	0.71	-0.25	0.64	0.04	0.45	0.38	0.65	0.18	0.50	0.27	0.58	-0.23	0.50	0.38	0.39	-0.43	0.36	-0.26	0.27	0.12	0.53	-0.04	0.31	-0.12	0.50	-0.04	0.48	-0.04	0.64	-0.25	0.50	0.15	g
