surgery	Age	rectal_temperature	pulse	respiratory_rate	temp_extremities	peripheral_pulse	mucous_membranes	capillary_refill_time	pain	peristalsis	abdominal_distension	nasogastric_tube	nasogastric_reflux	nasogastric_reflux_PH	rectal_examination	abdomen	packed_cell_volume	total_protein	abdominocentesis_appearan	abdomcentesis_total_prote	outcome	surgical_lesion
yes	adult	38.20	76.00	28.00	cool	normal	'normal pink'	'<3'	'intermittent mild pain'	absent	none	slight	'>1l'	4.96	absent	'distended small intestin	46.00	81.00	clear	2.00	lived	yes
yes	adult	37.60	96.00	48.00	cool	normal	'pale cyanotic'	'<3'	'continuous severe pain'	hypomotile	moderate	slight	'<1l'	4.50	absent	?	45.00	6.80	?	2.95	died	yes
yes	young	38.13	128.00	36.00	cool	reduced	'pale cyanotic'	'>=3'	'intermittent severe pain	absent	moderate	significant	?	4.96	absent	'distended large intestin	53.00	7.80	serosanguinous	4.70	died	no
no	adult	37.50	48.00	24.00	?	?	?	?	?	?	?	?	?	4.96	?	?	45.66	24.77	?	2.95	lived	no
yes	adult	37.60	64.00	21.00	normal	normal	'bright pink'	'<3'	depressed	hypomotile	none	none	none	4.96	increased	'distended large intestin	40.00	7.00	clear	2.95	lived	yes
no	adult	39.40	110.00	35.00	cold	reduced	'dark cyanotic'	?	?	hypomotile	moderate	?	?	4.96	?	?	55.00	8.70	?	2.95	lived	no
yes	adult	39.90	72.00	60.00	normal	normal	'bright red'	'>=3'	'continuous severe pain'	absent	severe	significant	none	4.96	absent	'distended small intestin	46.00	6.10	cloudy	2.95	lived	yes
no	adult	38.40	48.00	16.00	normal	?	'normal pink'	'<3'	'alert no pain'	hypomotile	none	slight	'<1l'	5.50	absent	'firm feces in large inte	49.00	6.80	?	2.95	lived	no
yes	adult	38.60	42.00	34.00	warm	normal	'pale cyanotic'	?	depressed	hypomotile	none	?	?	4.96	normal	?	48.00	7.20	?	2.95	lived	yes
yes	young	38.30	130.00	60.00	?	reduced	?	'<3'	depressed	absent	?	?	?	4.96	?	?	50.00	70.00	?	2.95	lived	yes
yes	adult	38.10	60.00	12.00	cool	reduced	'pale pink'	'<3'	?	absent	moderate	significant	'>1l'	2.00	?	?	51.00	65.00	?	2.95	lived	yes
no	adult	37.80	60.00	42.00	?	?	?	'<3'	?	?	?	?	?	4.96	?	?	45.66	24.77	?	2.95	lived	no
yes	adult	38.30	72.00	30.00	cold	reduced	'pale pink'	'>=3'	'intermittent mild pain'	hypomotile	moderate	slight	none	4.96	decreased	'distended large intestin	43.00	7.00	cloudy	3.90	lived	yes
yes	adult	37.80	48.00	12.00	cool	normal	'normal pink'	'<3'	?	hypomotile	slight	none	none	4.96	normal	'firm feces in large inte	37.00	5.50	cloudy	1.30	lived	no
yes	adult	38.13	70.76	30.52	?	?	?	?	?	?	?	?	?	4.96	?	?	45.66	24.77	?	2.95	died	no
no	adult	37.70	48.00	30.52	warm	normal	'normal pink'	'<3'	'alert no pain'	hypermotile	none	none	none	4.96	?	?	45.00	76.00	?	2.95	lived	no
no	adult	37.70	96.00	30.00	cool	reduced	'pale cyanotic'	'>=3'	'continuous severe pain'	absent	severe	significant	'>1l'	4.00	absent	'distended large intestin	66.00	7.50	?	2.95	died	yes
no	adult	37.20	108.00	12.00	cool	reduced	'pale cyanotic'	'>=3'	depressed	absent	slight	?	'<1l'	6.00	decreased	'firm feces in large inte	52.00	8.20	serosanguinous	7.40	euthanized	yes
yes	adult	37.20	60.00	30.52	warm	normal	'normal pink'	'<3'	'intermittent mild pain'	hypomotile	moderate	slight	none	4.96	absent	'distended large intestin	43.00	6.60	?	2.95	lived	yes
yes	adult	38.20	64.00	28.00	normal	normal	'normal pink'	'<3'	'intermittent mild pain'	hypermotile	?	?	?	4.96	absent	'distended small intestin	49.00	8.60	cloudy	6.60	lived	yes
yes	adult	38.13	100.00	30.00	cool	reduced	'pale cyanotic'	'>=3'	'continuous severe pain'	absent	severe	significant	'<1l'	4.96	absent	'distended small intestin	52.00	6.60	?	2.95	lived	yes
no	adult	38.13	104.00	24.00	cold	reduced	'pale pink'	'>=3'	'intermittent severe pain	absent	moderate	?	'<1l'	4.96	?	other	73.00	8.40	?	2.95	euthanized	yes
no	adult	38.30	112.00	16.00	?	reduced	'bright red'	'>=3'	?	?	none	none	'>1l'	4.96	?	'distended large intestin	51.00	6.00	cloudy	1.00	euthanized	no
yes	adult	37.80	72.00	30.52	?	reduced	?	'<3'	'continuous severe pain'	hypomotile	none	?	none	4.96	normal	normal	56.00	80.00	clear	2.00	lived	yes
no	adult	38.60	52.00	30.52	normal	normal	'normal pink'	'<3'	'intermittent mild pain'	hypomotile	slight	none	none	4.96	normal	'firm feces in large inte	32.00	6.60	clear	5.00	lived	no
yes	young	39.20	146.00	96.00	?	?	?	?	?	?	?	?	?	4.96	?	?	45.66	24.77	?	2.95	died	yes
yes	adult	38.13	88.00	30.52	cool	reduced	'dark cyanotic'	'>=3'	'continuous severe pain'	hypomotile	moderate	none	'<1l'	4.96	absent	'distended large intestin	63.00	6.50	serosanguinous	2.95	died	yes
no	young	39.00	150.00	72.00	?	?	?	?	?	?	?	?	?	4.96	?	?	47.00	8.50	?	0.10	lived	yes
no	adult	38.00	60.00	12.00	cool	normal	'pale pink'	'<3'	'intermittent mild pain'	hypomotile	none	none	none	4.96	increased	other	47.00	7.00	?	2.95	lived	no
yes	adult	38.13	120.00	30.52	cool	absent	'pale cyanotic'	'<3'	'intermittent severe pain	absent	severe	none	none	4.96	?	'distended large intestin	52.00	67.00	cloudy	2.00	euthanized	yes
yes	adult	35.40	140.00	24.00	cool	reduced	'pale cyanotic'	'>=3'	'intermittent severe pain	absent	?	slight	none	4.96	?	'distended large intestin	57.00	69.00	serosanguinous	2.00	euthanized	yes
no	adult	38.13	120.00	30.52	cold	reduced	'pale cyanotic'	'>=3'	'continuous severe pain'	absent	severe	none	none	4.96	absent	'distended large intestin	60.00	6.50	serosanguinous	2.95	died	yes
yes	adult	37.90	60.00	15.00	cool	?	'pale cyanotic'	'>=3'	'continuous severe pain'	absent	severe	slight	'>1l'	4.96	absent	'distended large intestin	65.00	7.50	?	2.95	lived	yes
no	adult	37.50	48.00	16.00	normal	normal	'normal pink'	'<3'	'alert no pain'	hypermotile	none	none	none	4.96	normal	?	37.00	6.50	?	2.95	lived	no
yes	adult	38.90	80.00	44.00	cool	reduced	'pale pink'	'>=3'	depressed	hypomotile	moderate	slight	'>1l'	7.00	decreased	normal	54.00	6.50	serosanguinous	2.95	died	yes
no	adult	37.20	84.00	48.00	cool	reduced	'bright red'	'>=3'	'intermittent severe pain	hypermotile	slight	none	'>1l'	4.96	increased	normal	73.00	5.50	cloudy	4.10	died	no
no	adult	38.60	46.00	30.52	normal	normal	'bright pink'	'<3'	'alert no pain'	hypomotile	slight	none	none	4.96	?	other	49.00	9.10	clear	1.60	lived	no
yes	adult	37.40	84.00	36.00	normal	?	'pale pink'	'>=3'	'intermittent mild pain'	hypomotile	slight	?	?	4.96	absent	'distended large intestin	45.66	24.77	serosanguinous	2.95	died	yes
no	adult	38.13	70.76	30.52	normal	normal	'pale pink'	'<3'	'alert no pain'	hypomotile	none	?	?	4.96	increased	other	43.00	7.70	?	2.95	lived	no
no	adult	38.60	40.00	20.00	?	?	?	'<3'	?	?	?	?	?	4.96	?	?	41.00	6.40	?	2.95	lived	no
no	adult	40.30	114.00	36.00	cool	reduced	'normal pink'	'>=3'	depressed	hypomotile	moderate	slight	none	7.00	normal	'distended large intestin	57.00	8.10	serosanguinous	4.50	euthanized	yes
yes	young	38.60	160.00	20.00	cool	?	'bright red'	'<3'	'intermittent mild pain'	hypomotile	severe	significant	?	4.96	absent	?	38.00	24.77	cloudy	2.95	died	yes
yes	adult	38.13	70.76	30.52	?	?	?	?	?	?	?	?	?	4.96	?	?	24.00	6.70	?	2.95	lived	yes
yes	adult	38.13	64.00	36.00	warm	?	'bright pink'	'<3'	'continuous severe pain'	hypomotile	moderate	slight	'>1l'	4.96	?	?	42.00	7.70	?	2.95	died	yes
yes	adult	38.13	70.76	20.00	cold	reduced	'pale pink'	?	'continuous severe pain'	absent	moderate	slight	?	4.96	absent	'distended small intestin	53.00	5.90	serosanguinous	2.95	died	yes
no	adult	38.13	96.00	30.52	cool	reduced	'pale pink'	'>=3'	'continuous severe pain'	absent	severe	none	'>1l'	4.96	absent	'distended large intestin	60.00	24.77	?	2.95	died	yes
no	adult	37.80	48.00	32.00	normal	normal	'pale pink'	'<3'	depressed	hypermotile	?	none	none	4.96	absent	'distended large intestin	37.00	6.70	?	2.95	lived	no
no	adult	38.50	60.00	30.52	warm	increased	'normal pink'	'<3'	'alert no pain'	normal	slight	slight	none	4.96	normal	normal	44.00	7.70	?	2.95	lived	no
yes	adult	37.80	88.00	22.00	warm	normal	'bright pink'	'<3'	'intermittent mild pain'	?	?	slight	?	4.96	absent	?	64.00	8.00	clear	6.00	died	yes
no	adult	38.20	130.00	16.00	cold	reduced	'pale cyanotic'	'>=3'	depressed	absent	severe	none	none	4.96	?	?	65.00	82.00	cloudy	2.00	euthanized	no
yes	adult	39.00	64.00	36.00	cool	normal	'pale cyanotic'	'>=3'	'intermittent mild pain'	hypomotile	slight	none	'>1l'	7.00	absent	'distended large intestin	44.00	7.50	serosanguinous	5.00	lived	yes
yes	adult	38.13	60.00	36.00	cool	normal	'pale pink'	'<3'	'intermittent mild pain'	hypomotile	slight	none	none	4.96	decreased	'distended small intestin	26.00	72.00	cloudy	1.00	lived	yes
no	adult	37.90	72.00	30.52	normal	normal	'bright red'	'>=3'	'intermittent mild pain'	hypomotile	none	none	'<1l'	2.00	decreased	'distended small intestin	58.00	74.00	clear	2.00	lived	yes
no	adult	38.40	54.00	24.00	normal	normal	'normal pink'	'<3'	'alert no pain'	hypomotile	none	slight	none	4.96	decreased	other	49.00	7.20	clear	2.95	lived	no
no	adult	38.13	52.00	16.00	normal	?	'pale pink'	'<3'	?	?	?	slight	'<1l'	5.50	?	?	55.00	7.20	?	2.95	lived	no
no	adult	38.00	48.00	12.00	normal	normal	'normal pink'	'<3'	'alert no pain'	hypomotile	?	none	none	4.96	decreased	other	42.00	6.30	cloudy	4.10	lived	no
no	adult	37.00	60.00	20.00	cool	?	?	'<3'	'intermittent mild pain'	?	moderate	slight	'>1l'	4.50	absent	'distended small intestin	43.00	7.60	?	2.95	euthanized	yes
yes	adult	37.80	48.00	28.00	normal	normal	'normal pink'	'<3'	'alert no pain'	normal	none	slight	?	4.96	normal	normal	46.00	5.90	cloudy	7.00	lived	no
yes	adult	37.70	56.00	30.52	?	?	?	?	?	?	?	?	?	4.96	?	?	45.66	24.77	?	2.95	died	yes
yes	adult	38.10	52.00	24.00	normal	normal	'bright red'	'<3'	'intermittent severe pain	hypomotile	none	slight	'<1l'	7.00	normal	?	54.00	7.50	cloudy	2.60	died	yes
yes	young	38.13	70.76	30.52	?	?	?	?	?	?	?	?	?	4.96	?	?	37.00	4.90	?	2.95	died	yes
yes	young	39.70	100.00	30.52	cool	reduced	'bright red'	'>=3'	depressed	hypomotile	?	?	?	4.96	?	?	48.00	57.00	cloudy	2.00	euthanized	yes
yes	adult	37.60	38.00	20.00	cool	reduced	'normal pink'	'<3'	'intermittent mild pain'	hypomotile	slight	?	?	4.96	decreased	?	37.00	68.00	?	2.95	lived	yes
no	adult	38.70	52.00	20.00	warm	?	'normal pink'	'<3'	'alert no pain'	hypermotile	none	none	none	4.96	normal	normal	33.00	77.00	?	2.95	lived	no
yes	adult	38.13	70.76	30.52	cool	reduced	'pale pink'	'meaning unknown'	'continuous severe pain'	hypomotile	moderate	significant	'>1l'	4.96	absent	'distended large intestin	46.00	5.90	?	2.95	died	yes
yes	adult	37.50	96.00	18.00	normal	reduced	'dark cyanotic'	'>=3'	'intermittent mild pain'	absent	slight	slight	'<1l'	5.00	?	'distended small intestin	69.00	8.90	serosanguinous	2.95	lived	yes
yes	adult	36.40	98.00	35.00	cool	reduced	'pale cyanotic'	'<3'	'intermittent severe pain	hypomotile	slight	?	?	4.96	absent	'distended small intestin	47.00	6.40	serosanguinous	3.60	died	yes
yes	adult	37.30	40.00	30.52	?	reduced	'normal pink'	'<3'	depressed	hypomotile	slight	significant	none	4.96	decreased	'distended large intestin	36.00	24.77	serosanguinous	2.00	lived	yes
yes	young	38.10	100.00	80.00	cool	normal	'bright pink'	'<3'	'intermittent mild pain'	absent	none	?	?	4.96	normal	?	36.00	5.70	?	2.95	lived	yes
yes	adult	38.00	70.76	24.00	cool	reduced	'dark cyanotic'	'>=3'	'continuous severe pain'	?	severe	none	none	4.96	?	?	68.00	7.80	?	2.95	died	yes
yes	adult	37.80	60.00	80.00	normal	reduced	'bright pink'	'>=3'	depressed	hypomotile	moderate	?	'>1l'	5.50	absent	?	40.00	4.50	cloudy	2.95	lived	yes
no	adult	38.00	54.00	30.00	warm	reduced	'pale pink'	'meaning unknown'	'intermittent mild pain'	hypermotile	slight	slight	'>1l'	4.96	?	'distended small intestin	45.00	6.20	?	2.95	lived	no
yes	adult	38.13	88.00	40.00	cool	reduced	'pale cyanotic'	'>=3'	'continuous severe pain'	absent	moderate	significant	?	4.96	absent	'distended large intestin	50.00	7.70	serosanguinous	1.40	died	yes
no	adult	38.13	40.00	16.00	?	?	?	'<3'	?	?	?	?	?	4.96	?	?	50.00	7.00	cloudy	3.90	euthanized	yes
no	adult	39.00	64.00	40.00	normal	normal	'bright red'	'<3'	'intermittent mild pain'	hypomotile	slight	slight	none	4.96	decreased	'firm feces in large inte	42.00	7.50	cloudy	2.30	lived	no
no	adult	38.30	42.00	10.00	normal	normal	'normal pink'	'<3'	'alert no pain'	hypermotile	none	?	?	4.96	?	?	38.00	61.00	?	2.95	lived	no
no	adult	38.00	52.00	16.00	?	?	?	?	depressed	?	?	?	'<1l'	1.00	normal	normal	53.00	86.00	?	2.95	lived	yes
no	adult	40.30	114.00	36.00	cool	reduced	'normal pink'	'>=3'	depressed	hypomotile	moderate	slight	none	7.00	normal	'distended large intestin	57.00	8.10	serosanguinous	4.50	died	yes
no	adult	38.80	50.00	20.00	cool	normal	'normal pink'	'<3'	'alert no pain'	hypermotile	none	slight	none	4.96	decreased	normal	42.00	6.20	?	2.95	lived	no
no	adult	38.13	70.76	30.52	cool	reduced	'normal pink'	'<3'	'continuous severe pain'	hypomotile	moderate	none	none	4.96	absent	'distended large intestin	38.00	6.50	?	2.95	died	yes
no	adult	37.50	48.00	30.00	cold	normal	'pale pink'	'<3'	?	normal	none	none	none	4.96	normal	normal	48.00	8.60	?	2.95	lived	no
yes	adult	37.30	48.00	20.00	?	normal	'bright pink'	'<3'	'intermittent mild pain'	hypomotile	moderate	slight	none	4.96	decreased	'distended large intestin	41.00	69.00	?	2.95	lived	yes
no	adult	38.13	84.00	36.00	?	?	'pale pink'	'<3'	?	hypomotile	none	slight	none	4.96	decreased	other	44.00	8.50	?	2.95	lived	yes
yes	adult	38.10	88.00	32.00	cool	reduced	'pale cyanotic'	'<3'	depressed	hypomotile	moderate	?	'<1l'	1.00	absent	'distended large intestin	55.00	60.00	?	2.95	euthanized	no
no	adult	37.70	44.00	40.00	warm	normal	'pale pink'	'<3'	'alert no pain'	hypomotile	slight	none	none	4.96	normal	'distended large intestin	41.00	60.00	?	2.95	lived	no
no	adult	39.60	108.00	51.00	cool	reduced	'dark cyanotic'	'>=3'	depressed	absent	moderate	none	'>1l'	4.96	decreased	'distended large intestin	59.00	8.00	cloudy	2.60	lived	no
yes	adult	38.20	40.00	16.00	cool	reduced	'normal pink'	'<3'	'alert no pain'	hypomotile	?	?	?	4.96	normal	normal	34.00	66.00	?	2.95	lived	no
yes	adult	38.13	60.00	20.00	cold	reduced	'pale cyanotic'	'>=3'	'continuous severe pain'	absent	?	?	none	4.96	absent	'distended large intestin	45.66	24.77	?	2.95	euthanized	yes
no	adult	38.30	40.00	16.00	cool	?	'normal pink'	'<3'	depressed	?	?	?	?	4.96	?	?	37.00	57.00	?	2.95	lived	no
yes	young	38.00	140.00	68.00	normal	normal	'normal pink'	'<3'	'intermittent mild pain'	hypomotile	slight	?	?	4.96	increased	normal	39.00	5.30	?	2.95	lived	yes
yes	adult	37.80	52.00	24.00	normal	reduced	'pale pink'	'<3'	'intermittent severe pain	absent	none	slight	'<1l'	5.70	increased	'distended large intestin	48.00	6.60	clear	3.70	died	yes
yes	adult	38.13	70.00	36.00	normal	?	'pale pink'	'>=3'	depressed	hypomotile	slight	slight	?	4.96	absent	'distended large intestin	36.00	7.30	?	2.95	lived	yes
yes	adult	38.30	52.00	96.00	?	reduced	'pale pink'	'<3'	?	?	?	none	none	4.96	normal	?	43.00	6.10	?	2.95	lived	yes
no	adult	37.30	50.00	32.00	normal	normal	'pale pink'	'<3'	'alert no pain'	hypomotile	slight	?	?	4.96	normal	?	44.00	7.00	?	2.95	lived	no
yes	adult	38.70	60.00	32.00	cold	reduced	'bright pink'	'>=3'	'intermittent severe pain	absent	severe	?	?	4.96	absent	'distended large intestin	53.00	64.00	serosanguinous	2.00	euthanized	yes
yes	young	38.40	84.00	40.00	cool	reduced	'bright pink'	'<3'	'intermittent mild pain'	hypomotile	moderate	none	none	4.96	?	?	36.00	6.60	cloudy	2.80	died	yes
yes	adult	38.13	70.00	16.00	cool	absent	'bright red'	'>=3'	depressed	hypomotile	slight	slight	none	4.96	absent	'distended large intestin	60.00	7.50	?	2.95	died	yes
yes	adult	38.30	40.00	16.00	cool	?	?	'<3'	'alert no pain'	hypomotile	slight	?	?	4.96	?	?	38.00	58.00	clear	2.00	lived	yes
yes	adult	38.13	40.00	30.52	warm	normal	'normal pink'	'<3'	'alert no pain'	hypomotile	none	none	none	4.96	?	'distended large intestin	39.00	56.00	?	2.95	lived	yes
yes	adult	36.80	60.00	28.00	?	?	?	?	?	?	?	?	?	4.96	?	?	45.66	24.77	?	10.00	died	yes
yes	adult	38.40	44.00	24.00	cool	?	'pale cyanotic'	?	'continuous severe pain'	absent	moderate	slight	none	4.96	absent	'distended large intestin	50.00	77.00	?	2.95	lived	yes
no	adult	38.13	70.76	40.00	cool	normal	'normal pink'	'<3'	'intermittent mild pain'	hypomotile	slight	?	?	4.96	?	?	45.00	70.00	?	2.95	lived	no
yes	adult	38.00	44.00	12.00	normal	normal	'normal pink'	'<3'	'intermittent mild pain'	hypomotile	moderate	slight	none	4.96	absent	'distended large intestin	42.00	65.00	?	2.95	lived	yes
no	adult	39.50	70.76	30.52	cool	reduced	'pale cyanotic'	'>=3'	'intermittent mild pain'	absent	moderate	?	'<1l'	5.50	absent	'distended large intestin	45.66	6.70	clear	2.95	euthanized	yes
yes	adult	36.50	78.00	30.00	normal	?	'normal pink'	'<3'	'continuous severe pain'	hypomotile	none	?	none	4.96	?	?	34.00	75.00	cloudy	1.00	lived	yes
no	adult	38.10	56.00	20.00	warm	normal	'bright pink'	'<3'	'alert no pain'	hypomotile	none	none	none	4.96	?	?	46.00	70.00	?	2.95	lived	no
yes	adult	39.40	54.00	66.00	normal	normal	'bright pink'	'<3'	depressed	hypomotile	slight	none	none	4.96	decreased	'distended small intestin	39.00	6.00	cloudy	2.95	lived	yes
yes	adult	38.30	80.00	40.00	?	?	'dark cyanotic'	'>=3'	'intermittent severe pain	hypomotile	none	?	'>1l'	4.96	normal	'distended small intestin	67.00	10.20	cloudy	1.00	euthanized	yes
no	adult	38.70	40.00	28.00	warm	normal	'normal pink'	'<3'	'intermittent mild pain'	hypermotile	none	?	?	4.96	normal	?	39.00	62.00	clear	1.00	lived	no
yes	adult	38.20	64.00	24.00	normal	normal	'pale pink'	'<3'	'intermittent severe pain	absent	moderate	slight	none	4.96	absent	'distended small intestin	45.00	7.50	clear	2.00	died	yes
no	adult	37.60	48.00	20.00	cool	normal	'pale cyanotic'	'<3'	'alert no pain'	hypermotile	moderate	slight	none	4.96	normal	normal	37.00	5.50	?	2.95	euthanized	yes
yes	adult	38.00	42.00	68.00	cold	normal	'normal pink'	'<3'	'intermittent mild pain'	hypomotile	slight	slight	'>1l'	4.96	absent	'distended small intestin	41.00	7.60	?	2.95	lived	yes
yes	adult	38.70	70.76	30.52	cool	normal	'pale pink'	'<3'	'continuous severe pain'	absent	slight	?	?	4.96	?	?	33.00	6.50	cloudy	2.95	lived	yes
yes	adult	37.40	50.00	32.00	cool	reduced	?	'<3'	'intermittent severe pain	absent	none	slight	none	4.96	normal	?	45.00	7.90	cloudy	1.00	lived	yes
yes	adult	37.40	84.00	20.00	?	?	'pale pink'	'<3'	depressed	hypomotile	moderate	?	?	4.96	?	?	31.00	61.00	?	1.00	euthanized	no
yes	adult	38.40	49.00	30.52	?	?	'normal pink'	'<3'	?	?	none	slight	none	4.96	?	?	44.00	7.60	?	2.95	lived	yes
yes	adult	37.80	30.00	12.00	?	?	?	?	?	?	?	?	?	4.96	?	?	45.66	24.77	?	2.95	died	yes
no	adult	37.60	88.00	36.00	cool	normal	'normal pink'	'<3'	'intermittent mild pain'	hypomotile	slight	none	'<1l'	1.50	?	?	44.00	6.00	?	2.95	died	yes
?	adult	38.00	48.00	20.00	cool	normal	'pale pink'	'<3'	'intermittent severe pain	hypomotile	none	slight	none	4.96	decreased	'distended large intestin	43.00	73.00	cloudy	1.00	?	yes
no	adult	37.90	40.00	24.00	normal	normal	'normal pink'	'<3'	depressed	hypomotile	none	?	?	4.96	?	'firm feces in large inte	40.00	5.70	?	2.95	lived	yes
yes	adult	38.13	100.00	30.52	cool	?	'pale cyanotic'	'>=3'	'continuous severe pain'	absent	?	slight	?	4.96	increased	?	59.00	6.30	?	2.95	died	yes
yes	young	38.10	136.00	48.00	cool	reduced	'pale pink'	'<3'	'continuous severe pain'	hypermotile	moderate	slight	'>1l'	4.40	increased	?	33.00	4.90	cloudy	2.90	died	yes
yes	adult	38.13	70.76	30.52	cool	reduced	'pale pink'	'>=3'	'continuous severe pain'	hypomotile	moderate	significant	'>1l'	4.96	absent	'distended large intestin	46.00	5.90	?	2.95	died	yes
yes	adult	38.00	48.00	30.52	normal	normal	'normal pink'	'<3'	'alert no pain'	normal	severe	slight	'>1l'	4.96	absent	'distended large intestin	45.66	24.77	?	2.95	lived	yes
no	adult	38.00	56.00	30.52	normal	increased	'pale pink'	'<3'	'alert no pain'	hypermotile	none	none	none	4.96	normal	normal	42.00	71.00	?	2.95	lived	no
no	adult	38.00	60.00	32.00	normal	normal	?	'<3'	'intermittent mild pain'	hypomotile	?	none	none	4.96	?	?	50.00	7.00	clear	1.00	lived	no
yes	adult	38.10	44.00	9.00	cool	normal	'normal pink'	'<3'	depressed	normal	none	none	none	4.96	absent	'distended large intestin	31.00	7.30	?	2.95	lived	no
no	adult	36.00	42.00	30.00	?	?	'bright red'	'<3'	?	?	?	?	?	4.96	?	?	64.00	6.80	?	2.95	died	no
yes	adult	38.13	120.00	30.52	cold	reduced	'dark cyanotic'	'>=3'	'continuous severe pain'	absent	severe	?	?	4.96	absent	'distended large intestin	57.00	4.50	serosanguinous	3.90	died	yes
yes	adult	37.80	48.00	28.00	normal	normal	'normal pink'	'>=3'	'alert no pain'	normal	none	slight	?	4.96	normal	normal	46.00	5.90	cloudy	7.00	lived	no
yes	adult	37.10	84.00	40.00	cool	reduced	'dark cyanotic'	'<3'	depressed	absent	severe	significant	'>1l'	2.00	absent	'distended large intestin	75.00	81.00	?	2.95	euthanized	no
no	adult	38.13	80.00	32.00	cool	reduced	'bright pink'	'<3'	depressed	hypomotile	moderate	slight	none	4.96	decreased	?	50.00	80.00	?	2.95	lived	yes
yes	adult	38.20	48.00	30.52	normal	reduced	'pale pink'	'<3'	'intermittent mild pain'	absent	severe	none	'<1l'	2.00	absent	'distended large intestin	42.00	71.00	?	2.95	lived	yes
no	adult	38.00	44.00	12.00	warm	normal	'pale pink'	'<3'	'intermittent mild pain'	absent	moderate	none	'>1l'	6.50	normal	'distended small intestin	33.00	6.50	?	2.95	died	yes
yes	adult	38.30	132.00	30.52	?	reduced	'dark cyanotic'	'>=3'	depressed	absent	slight	slight	'<1l'	6.20	absent	'distended small intestin	57.00	8.00	?	5.20	lived	yes
no	adult	38.70	48.00	24.00	?	?	?	?	'alert no pain'	hypermotile	?	none	none	4.96	normal	?	34.00	63.00	?	2.95	lived	no
no	adult	38.90	44.00	14.00	cool	normal	'normal pink'	'<3'	depressed	hypomotile	slight	?	?	4.96	?	other	33.00	64.00	?	2.95	lived	no
yes	adult	39.30	70.76	30.52	cold	reduced	'dark cyanotic'	'>=3'	'intermittent severe pain	absent	slight	none	'<1l'	4.00	absent	'distended small intestin	75.00	24.77	serosanguinous	4.30	died	yes
yes	adult	38.13	100.00	30.52	cool	reduced	'pale cyanotic'	'>=3'	?	absent	severe	slight	none	2.00	?	?	68.00	64.00	serosanguinous	2.00	lived	yes
no	adult	38.60	48.00	20.00	cool	normal	'normal pink'	'<3'	'alert no pain'	hypomotile	slight	slight	none	4.96	decreased	other	50.00	7.30	clear	2.95	lived	no
