Train or Test	Speaker Number	Sex	Feature 0	Feature 1	Feature 2	Feature 3	Feature 4	Feature 5	Feature 6	Feature 7	Feature 8	Feature 9	Class
Train	Andrew	Male	-3.68	1.77	-1.73	1.61	0.10	1.39	-0.19	0.55	0.25	-0.92	hud
Train	Andrew	Male	-2.60	1.56	-1.25	0.66	-1.10	1.29	-0.55	1.01	-0.15	-0.55	hed
Train	Andrew	Male	-3.60	0.23	-0.84	1.79	-0.15	1.64	-0.10	0.49	-0.52	-1.00	hid
Train	Andrew	Male	-3.17	0.49	-1.13	0.91	-0.39	2.01	-0.21	0.71	-0.55	-0.19	hId
Train	Andrew	Male	-2.30	0.85	-1.65	0.46	-0.49	1.49	-0.62	0.82	-0.89	-0.08	hEd
Train	Andrew	Male	-2.37	1.73	-1.56	1.16	-0.82	0.94	-0.57	0.34	-0.28	-0.74	hAd
Train	Andrew	Male	-3.14	1.87	-1.13	0.94	-0.76	1.22	-0.35	0.02	-0.22	-0.57	hYd
Train	Andrew	Male	-3.07	2.37	-1.00	0.50	-1.29	0.86	0.33	-0.40	0.07	-0.16	had
Train	Andrew	Male	-3.47	2.18	-0.82	0.71	-1.71	0.78	0.42	0.35	0.43	-0.27	hOd
Train	Andrew	Male	-4.24	2.44	0.04	1.16	-2.13	0.55	0.12	0.82	0.56	-0.29	hod
Train	Andrew	Male	-3.55	1.26	-1.23	0.82	-0.70	1.73	-0.40	1.33	-0.28	0.01	hUd
Train	Andrew	Male	-3.87	1.86	-1.65	1.61	0.04	1.53	-0.49	0.86	-0.11	-1.00	hud
Train	Andrew	Male	-2.67	1.52	-1.20	0.74	-1.07	1.24	-0.57	0.96	-0.13	-0.71	hed
Train	Bill	Male	-4.10	0.21	0.41	0.42	0.99	1.43	0.66	0.04	-0.78	-0.67	hid
Train	Bill	Male	-1.37	-0.03	-1.00	-0.39	-0.47	1.14	0.65	0.82	0.56	0.04	hId
Train	Bill	Male	-1.82	0.46	-0.95	-0.34	0.09	0.75	0.14	0.46	-0.24	-0.27	hEd
Train	Bill	Male	-1.95	1.60	-1.59	0.37	-0.14	0.02	0.03	0.32	-0.19	-0.49	hAd
Train	Bill	Male	-2.65	2.39	-0.01	0.07	-1.06	0.30	-0.10	0.28	0.49	-0.38	hYd
Train	Bill	Male	-2.32	1.30	0.32	-0.09	-0.28	0.00	-0.09	-0.28	0.85	0.02	had
Train	Bill	Male	-3.14	3.31	-1.00	-0.39	-0.19	-0.31	0.14	0.63	0.55	-0.25	hOd
Train	Bill	Male	-3.94	3.35	0.49	-0.51	-1.12	0.10	0.30	0.71	-0.08	0.65	hod
Train	Bill	Male	-4.16	2.94	0.16	0.34	-0.97	0.64	0.09	0.24	0.56	0.82	hUd
Train	Bill	Male	-4.52	2.23	-0.09	0.51	-0.53	1.25	0.20	0.24	0.16	0.77	hud
Train	Bill	Male	-3.09	1.39	0.05	-0.22	-0.33	0.91	0.05	-0.08	0.10	-0.13	hed
Train	Bill	Male	-4.28	0.16	0.73	0.66	0.94	1.27	0.71	0.07	-0.83	-0.65	hid
Train	Bill	Male	-1.66	0.06	-1.04	-0.32	-0.32	1.32	0.64	0.80	0.30	-0.16	hId
Train	Bill	Male	-1.71	0.49	-0.95	-0.35	0.02	0.79	0.14	0.56	-0.23	-0.32	hEd
Train	Bill	Male	-1.95	1.47	-1.38	0.10	-0.15	0.17	-0.05	0.34	-0.10	-0.41	hAd
Train	Bill	Male	-2.67	2.70	-0.23	-0.03	-1.01	0.49	-0.14	0.45	0.28	-0.48	hYd
Train	Bill	Male	-2.44	1.41	0.39	-0.34	-0.19	-0.08	0.00	-0.17	0.79	-0.03	had
Train	Bill	Male	-3.15	3.08	-0.68	-0.03	-0.69	-0.06	-0.27	0.48	0.98	-0.35	hOd
Train	Bill	Male	-3.90	3.59	0.33	-0.67	-1.09	0.25	0.46	0.81	-0.19	0.54	hod
Train	Bill	Male	-4.27	3.01	0.17	0.03	-0.83	0.53	0.10	0.33	0.34	0.70	hUd
Train	Bill	Male	-4.65	2.45	0.01	0.68	-0.80	1.43	0.13	0.04	0.38	0.28	hud
Train	Bill	Male	-3.03	1.18	0.31	-0.12	-0.59	0.96	0.35	-0.14	-0.22	0.08	hed
Train	Bill	Male	-4.47	0.37	0.86	0.92	0.78	1.27	0.65	-0.22	-0.89	-0.63	hid
Train	Bill	Male	-1.86	0.06	-1.01	-0.24	-0.15	1.46	0.57	0.77	0.15	-0.31	hId
Train	Bill	Male	-1.98	0.39	-0.95	-0.25	-0.06	0.95	0.13	0.48	-0.32	-0.34	hEd
Train	Bill	Male	-1.91	1.47	-1.34	-0.01	-0.21	0.25	0.00	0.23	-0.01	-0.44	hAd
Train	Bill	Male	-2.70	2.83	-0.39	0.03	-0.96	0.44	-0.17	0.52	0.17	-0.52	hYd
Train	Bill	Male	-2.55	1.12	0.42	-0.02	-0.64	0.02	0.14	-0.33	0.66	0.07	had
Train	Bill	Male	-3.05	3.10	-0.51	-0.09	-0.95	0.30	-0.27	0.46	0.89	-0.31	hOd
Train	Bill	Male	-3.84	3.74	0.12	-0.66	-1.07	0.33	0.73	0.88	-0.29	0.42	hod
Train	Bill	Male	-4.32	2.85	0.38	0.21	-1.10	0.43	0.12	0.27	0.13	0.65	hUd
Train	Bill	Male	-4.68	2.54	0.08	0.73	-0.93	1.49	0.05	0.08	0.25	0.28	hud
Train	Bill	Male	-2.92	1.52	0.00	-0.35	-0.46	1.18	0.38	-0.17	-0.35	-0.03	hed
Train	Bill	Male	-4.48	0.25	1.09	1.11	0.68	1.06	0.42	-0.26	-1.20	-0.52	hid
Train	Bill	Male	-1.89	-0.01	-0.97	-0.15	-0.16	1.51	0.49	0.81	0.04	-0.26	hId
Train	Bill	Male	-1.95	0.35	-1.05	-0.23	-0.12	0.93	0.09	0.51	-0.28	-0.25	hEd
Train	Bill	Male	-1.91	1.55	-1.46	-0.02	-0.12	0.27	-0.04	0.16	-0.03	-0.47	hAd
Train	Bill	Male	-2.72	3.00	-0.56	-0.08	-0.94	0.55	-0.08	0.40	0.14	-0.63	hYd
Train	Bill	Male	-2.38	1.24	0.27	-0.04	-0.69	0.16	-0.06	-0.19	0.74	0.09	had
Train	Bill	Male	-3.09	3.01	-0.31	-0.02	-0.96	0.19	-0.23	0.37	0.96	-0.09	hOd
Train	Bill	Male	-3.92	3.50	0.41	-0.53	-1.15	0.02	0.61	0.98	-0.33	0.45	hod
Train	Bill	Male	-4.23	3.04	0.43	0.50	-1.37	0.55	0.13	0.23	0.13	0.49	hUd
Train	Bill	Male	-4.76	2.70	0.10	0.70	-0.79	1.11	0.20	-0.07	0.37	0.31	hud
Train	Bill	Male	-2.94	1.72	-0.31	-0.24	-0.45	1.36	0.01	-0.10	0.02	-0.56	hed
Train	Bill	Male	-4.31	-0.11	1.04	1.19	0.69	0.76	0.16	-0.19	-1.34	-0.45	hid
Train	Bill	Male	-2.05	0.06	-0.94	-0.04	0.08	1.56	0.39	0.83	-0.03	-0.39	hId
Train	Bill	Male	-1.80	0.43	-1.00	-0.43	-0.09	0.85	0.08	0.64	-0.28	-0.21	hEd
Train	Bill	Male	-1.98	1.54	-1.49	-0.10	-0.03	0.32	-0.06	0.10	-0.07	-0.38	hAd
Train	Bill	Male	-2.75	3.22	-0.98	-0.21	-0.79	0.77	-0.03	0.22	0.04	-0.82	hYd
Train	Bill	Male	-2.35	1.53	0.09	-0.08	-0.43	0.13	-0.20	0.03	0.85	-0.04	had
Train	Bill	Male	-3.11	2.92	-0.21	0.03	-0.90	0.02	-0.23	0.26	1.07	-0.06	hOd
Train	Bill	Male	-3.98	3.61	0.58	-0.42	-1.11	-0.17	0.35	0.88	-0.17	0.65	hod
Train	Bill	Male	-4.16	3.33	0.28	0.39	-1.29	0.69	0.48	0.12	0.29	0.15	hUd
Train	Bill	Male	-4.88	3.06	0.06	0.43	-0.57	0.90	0.25	0.09	0.09	0.44	hud
Train	Bill	Male	-3.08	1.63	-0.12	-0.15	-0.48	1.18	-0.09	-0.07	0.09	-0.56	hed
Train	Bill	Male	-4.16	-0.34	0.90	1.09	0.56	0.95	0.40	-0.33	-1.52	-0.50	hid
Train	Bill	Male	-2.44	0.19	-0.81	0.25	0.41	1.64	0.40	0.76	0.00	-0.56	hId
Train	Bill	Male	-1.67	0.33	-0.83	-0.58	-0.36	0.84	0.18	0.68	-0.12	-0.11	hEd
Train	Bill	Male	-2.05	1.51	-1.64	-0.06	-0.10	0.35	-0.02	0.11	-0.15	-0.30	hAd
Train	Bill	Male	-2.79	3.19	-1.14	-0.31	-0.58	0.36	0.28	0.08	0.11	-0.86	hYd
Train	Bill	Male	-2.49	1.77	-0.18	-0.15	-0.35	0.13	-0.19	0.21	0.79	-0.28	had
Train	Bill	Male	-3.07	3.14	-0.46	-0.22	-0.76	-0.05	0.07	0.27	1.00	-0.33	hOd
Train	Bill	Male	-3.96	3.94	0.47	-0.56	-1.04	-0.06	0.24	0.89	-0.03	0.80	hod
Train	Bill	Male	-4.14	3.58	-0.41	-0.04	-0.69	1.03	0.49	0.16	0.31	0.03	hUd
Train	Bill	Male	-4.94	3.33	0.01	0.08	-0.59	1.05	0.34	0.30	-0.45	0.37	hud
Train	Bill	Male	-3.06	1.68	-0.35	-0.25	0.04	0.69	-0.17	0.23	0.20	-0.59	hed
Train	David	Male	-1.20	-0.25	-2.49	0.81	-0.37	2.17	0.32	1.03	-1.38	-0.71	hid
Train	David	Male	-1.08	0.51	-2.01	0.31	-0.58	1.96	0.09	1.41	-0.67	-0.03	hId
Train	David	Male	-1.77	0.79	-1.47	1.08	-0.35	1.70	-0.17	1.08	-0.69	-0.06	hEd
Train	David	Male	-1.74	1.79	-1.05	1.07	-0.77	1.04	-0.03	0.93	-0.45	0.01	hAd
Train	David	Male	-2.43	2.13	-0.22	1.42	-1.17	0.41	-0.39	1.33	-0.07	0.22	hYd
Train	David	Male	-2.13	1.95	-0.41	1.46	-0.99	0.52	-0.34	1.25	-0.37	0.14	had
Train	David	Male	-2.61	2.41	-0.09	1.59	-1.48	0.16	-0.53	1.55	0.03	0.52	hOd
Train	David	Male	-3.81	3.70	-0.16	1.56	-1.50	-0.37	-0.58	1.41	0.29	-0.10	hod
Train	David	Male	-3.05	1.60	-0.69	1.54	-1.15	-0.04	0.30	0.73	0.60	0.46	hUd
Train	David	Male	-3.97	2.28	-0.62	0.95	-1.09	0.72	0.72	0.30	1.31	0.17	hud
Train	David	Male	-2.98	1.79	-0.87	1.43	-0.93	1.32	-0.21	1.29	-0.14	-0.50	hed
Train	David	Male	-1.30	-0.29	-2.43	0.95	-0.28	2.25	0.28	0.92	-1.57	-0.56	hid
Train	David	Male	-1.01	0.52	-2.04	0.32	-0.63	1.97	0.04	1.41	-0.69	0.05	hId
Train	David	Male	-1.50	0.85	-1.62	0.92	-0.49	1.62	-0.16	1.13	-0.61	-0.05	hEd
Train	David	Male	-1.67	1.71	-1.04	1.14	-0.87	1.04	-0.16	0.95	-0.36	0.02	hAd
Train	David	Male	-2.31	2.02	-0.20	1.49	-1.22	0.38	-0.48	1.40	-0.05	0.40	hYd
Train	David	Male	-2.15	2.03	-0.39	1.35	-1.04	0.65	-0.25	1.28	-0.40	0.18	had
Train	David	Male	-2.65	2.16	-0.05	1.69	-1.26	0.06	-0.61	1.40	0.13	0.60	hOd
Train	David	Male	-3.83	3.75	-0.18	1.52	-1.59	-0.28	-0.33	1.19	0.43	-0.10	hod
Train	David	Male	-3.33	1.53	-0.55	2.02	-0.85	0.02	0.05	0.51	0.40	0.39	hUd
Train	David	Male	-4.17	2.23	-0.39	1.21	-1.01	0.57	0.54	0.22	1.21	0.04	hud
Train	David	Male	-2.87	1.39	-0.82	1.60	-0.88	1.14	-0.43	1.16	0.17	-0.46	hed
Train	David	Male	-1.39	-0.31	-2.29	1.10	-0.25	2.33	0.36	0.80	-1.52	-0.76	hid
Train	David	Male	-0.94	0.54	-2.02	0.31	-0.68	1.90	0.03	1.50	-0.63	0.11	hId
Train	David	Male	-1.33	0.85	-1.66	0.97	-0.46	1.52	-0.16	1.10	-0.54	-0.05	hEd
Train	David	Male	-1.57	1.65	-1.04	1.16	-0.92	0.96	-0.23	0.95	-0.27	0.06	hAd
Train	David	Male	-2.23	1.99	-0.16	1.55	-1.19	0.33	-0.55	1.36	-0.01	0.37	hYd
Train	David	Male	-2.04	1.95	-0.44	1.34	-1.05	0.56	-0.24	1.24	-0.28	0.31	had
Train	David	Male	-2.68	1.73	-0.09	2.00	-1.01	0.04	-0.82	1.23	0.13	0.72	hOd
Train	David	Male	-3.84	3.70	-0.22	1.52	-1.73	-0.18	0.06	0.97	0.50	-0.13	hod
Train	David	Male	-3.48	1.70	-0.56	2.19	-1.04	0.34	0.00	0.59	0.45	0.01	hUd
Train	David	Male	-4.33	2.44	-0.22	1.37	-0.76	0.31	0.59	-0.02	1.10	0.19	hud
Train	David	Male	-2.70	1.28	-0.91	1.57	-0.84	1.04	-0.40	0.95	0.34	-0.69	hed
Train	David	Male	-1.42	-0.32	-2.25	1.07	-0.22	2.27	0.43	0.92	-1.49	-0.70	hid
Train	David	Male	-0.96	0.51	-1.95	0.36	-0.68	1.89	0.05	1.54	-0.63	0.09	hId
Train	David	Male	-1.22	0.83	-1.67	0.94	-0.43	1.46	-0.06	1.13	-0.42	0.06	hEd
Train	David	Male	-1.50	1.61	-1.00	1.16	-0.88	0.90	-0.17	0.86	-0.15	0.16	hAd
Train	David	Male	-2.18	1.95	-0.14	1.66	-1.13	0.28	-0.66	1.35	0.01	0.50	hYd
Train	David	Male	-1.89	1.78	-0.52	1.46	-1.05	0.57	-0.31	1.15	-0.24	0.32	had
Train	David	Male	-2.62	1.65	-0.16	2.02	-1.05	0.09	-0.75	1.34	0.20	0.71	hOd
Train	David	Male	-3.76	3.25	-0.26	1.52	-1.68	-0.22	0.23	0.99	0.62	0.05	hod
Train	David	Male	-3.55	1.90	-0.51	1.96	-1.20	0.85	-0.16	0.84	0.63	-0.59	hUd
Train	David	Male	-4.37	2.46	-0.17	1.50	-0.64	0.29	0.52	-0.11	1.13	0.33	hud
Train	David	Male	-2.56	1.36	-0.94	1.33	-1.05	1.21	-0.32	1.05	0.35	-0.77	hed
Train	David	Male	-1.38	-0.32	-2.27	0.94	-0.29	2.29	0.46	1.10	-1.44	-0.70	hid
Train	David	Male	-1.12	0.41	-1.95	0.56	-0.47	1.98	0.03	1.61	-0.57	0.01	hId
Train	David	Male	-1.28	0.80	-1.65	0.97	-0.42	1.61	-0.03	1.22	-0.37	0.04	hEd
Train	David	Male	-1.48	1.56	-1.01	1.20	-0.85	0.88	-0.14	0.82	-0.17	0.20	hAd
Train	David	Male	-2.20	1.80	-0.20	1.77	-1.09	0.31	-0.62	1.25	0.14	0.41	hYd
Train	David	Male	-1.82	1.68	-0.67	1.48	-1.04	0.71	-0.25	1.19	-0.27	0.22	had
Train	David	Male	-2.57	1.81	-0.17	1.83	-1.16	0.12	-0.61	1.54	0.11	0.75	hOd
Train	David	Male	-3.69	3.07	-0.27	1.62	-1.90	0.05	0.01	1.35	0.35	0.36	hod
Train	David	Male	-3.55	1.93	-0.51	1.73	-1.11	1.01	0.02	0.82	0.73	-0.64	hUd
Train	David	Male	-4.39	2.27	-0.16	1.54	-0.61	0.23	0.57	-0.12	1.07	0.40	hud
Train	David	Male	-2.53	1.49	-0.94	1.21	-1.15	1.32	-0.27	1.15	0.23	-0.77	hed
Train	David	Male	-1.22	-0.29	-2.42	0.83	-0.38	2.27	0.50	1.34	-1.36	-0.68	hid
Train	David	Male	-1.40	0.32	-1.89	0.83	-0.24	2.04	0.00	1.67	-0.51	-0.09	hId
Train	David	Male	-1.49	0.66	-1.58	1.19	-0.25	1.78	-0.07	1.19	-0.41	0.09	hEd
Train	David	Male	-1.51	1.49	-1.05	1.26	-0.81	0.94	-0.12	0.81	-0.21	0.14	hAd
Train	David	Male	-2.27	1.65	-0.23	1.86	-0.97	0.33	-0.61	1.12	0.12	0.29	hYd
Train	David	Male	-1.80	1.56	-0.80	1.39	-0.99	0.75	-0.03	0.96	-0.23	0.30	had
Train	David	Male	-2.45	1.91	-0.21	1.64	-1.16	0.10	-0.54	1.58	0.06	0.79	hOd
Train	David	Male	-3.67	3.13	-0.24	1.59	-1.75	-0.22	0.04	1.05	0.55	0.23	hod
Train	David	Male	-3.42	1.72	-0.64	1.57	-1.04	1.20	-0.12	1.26	0.55	-0.51	hUd
Train	David	Male	-4.38	2.22	-0.27	1.32	-0.66	0.16	0.72	0.01	1.06	0.47	hud
Train	David	Male	-2.52	1.52	-0.96	1.30	-1.10	1.15	-0.27	1.25	0.09	-0.68	hed
Train	Mark	Male	-1.55	-0.40	-1.66	0.24	-0.10	1.56	0.55	1.25	0.13	-0.46	hid
Train	Mark	Male	-1.61	0.29	-1.20	-0.25	-0.26	1.25	0.28	0.90	0.19	-0.42	hId
Train	Mark	Male	-1.89	0.99	-1.06	0.12	0.59	0.26	0.37	0.39	-0.38	-0.65	hEd
Train	Mark	Male	-2.03	1.76	-0.39	-0.25	0.18	0.12	0.10	-0.12	0.07	-0.55	hAd
Train	Mark	Male	-2.55	2.63	0.08	-0.16	-0.88	0.09	-0.19	0.96	0.03	-0.59	hYd
Train	Mark	Male	-2.46	1.97	0.03	0.08	-0.54	0.07	0.05	0.60	0.26	-0.44	had
Train	Mark	Male	-3.19	2.03	0.83	0.81	-1.21	0.04	-0.95	0.79	1.04	0.21	hOd
Train	Mark	Male	-3.57	1.50	0.94	1.83	-1.22	0.18	-1.45	0.92	0.77	1.06	hod
Train	Mark	Male	-3.30	1.73	0.19	0.12	-1.25	0.80	-0.37	1.09	0.49	0.44	hUd
Train	Mark	Male	-3.60	0.74	-0.24	0.33	-0.56	1.27	-0.01	0.84	0.56	0.66	hud
Train	Mark	Male	-2.44	0.79	0.08	0.24	-0.69	0.60	-0.35	0.70	0.41	0.10	hed
Train	Mark	Male	-1.51	-0.46	-1.73	0.26	-0.08	1.57	0.56	1.29	0.12	-0.46	hid
Train	Mark	Male	-1.42	0.26	-1.13	-0.28	-0.39	1.25	0.31	0.89	0.27	-0.38	hId
Train	Mark	Male	-1.81	0.92	-0.93	0.12	0.43	0.55	0.24	0.43	-0.18	-0.73	hEd
Train	Mark	Male	-2.01	1.81	-0.58	-0.03	0.13	0.08	0.09	-0.02	0.12	-0.72	hAd
Train	Mark	Male	-2.56	2.30	0.41	0.00	-1.08	0.13	-0.25	0.98	0.07	-0.47	hYd
Train	Mark	Male	-2.43	1.87	0.21	0.12	-0.63	0.18	0.04	0.61	0.45	-0.56	had
Train	Mark	Male	-3.24	1.75	0.96	1.07	-1.19	0.02	-1.02	0.66	1.01	0.44	hOd
Train	Mark	Male	-3.57	1.36	0.96	1.98	-1.27	0.09	-1.36	0.72	0.74	1.14	hod
Train	Mark	Male	-3.20	1.37	0.39	0.42	-1.20	0.66	-0.43	0.99	0.58	0.87	hUd
Train	Mark	Male	-3.77	0.90	-0.19	0.32	-0.47	1.31	-0.04	0.90	0.54	0.50	hud
Train	Mark	Male	-2.43	0.87	0.13	0.22	-0.81	0.67	-0.23	0.70	0.41	0.14	hed
Train	Mark	Male	-1.66	-0.50	-1.72	0.36	0.00	1.64	0.54	1.32	-0.01	-0.49	hid
Train	Mark	Male	-1.39	0.22	-1.11	-0.29	-0.39	1.28	0.36	0.82	0.29	-0.38	hId
Train	Mark	Male	-1.76	0.89	-1.00	0.20	0.30	0.66	0.16	0.56	-0.30	-0.65	hEd
Train	Mark	Male	-2.03	1.75	-0.53	-0.13	0.27	-0.05	0.08	0.06	0.05	-0.69	hAd
Train	Mark	Male	-2.53	1.80	0.74	0.24	-1.17	-0.07	-0.35	0.90	0.12	-0.12	hYd
Train	Mark	Male	-2.38	1.64	0.31	0.25	-0.82	0.22	-0.09	0.87	0.37	-0.52	had
Train	Mark	Male	-3.18	1.35	0.99	1.32	-0.85	-0.01	-1.23	0.35	1.02	0.77	hOd
Train	Mark	Male	-3.57	1.37	0.97	1.96	-1.26	0.00	-1.27	0.58	0.75	0.99	hod
Train	Mark	Male	-3.17	1.04	0.51	0.69	-1.18	0.67	-0.35	0.88	0.43	1.01	hUd
Train	Mark	Male	-4.07	1.05	-0.05	0.46	-0.36	1.33	-0.13	0.85	0.51	0.32	hud
Train	Mark	Male	-2.48	0.81	0.19	0.28	-0.92	0.73	-0.11	0.61	0.37	0.18	hed
Train	Mark	Male	-1.82	-0.58	-1.62	0.52	0.05	1.71	0.54	1.32	-0.12	-0.50	hid
Train	Mark	Male	-1.45	0.20	-1.13	-0.28	-0.37	1.29	0.37	0.86	0.30	-0.38	hId
Train	Mark	Male	-1.79	0.79	-1.04	0.21	0.22	0.69	0.12	0.58	-0.40	-0.49	hEd
Train	Mark	Male	-2.09	1.70	-0.53	-0.23	0.38	-0.14	0.03	0.07	0.03	-0.74	hAd
Train	Mark	Male	-2.47	1.50	0.86	0.40	-1.17	-0.23	-0.39	0.82	0.16	0.06	hYd
Train	Mark	Male	-2.31	1.49	0.29	0.25	-0.77	0.05	-0.07	0.82	0.62	-0.57	had
Train	Mark	Male	-3.06	1.01	0.94	1.44	-0.58	0.07	-1.33	0.11	0.96	0.98	hOd
Train	Mark	Male	-3.58	1.36	0.91	1.88	-1.17	0.04	-1.54	0.66	0.84	1.09	hod
