checking_status	duration	credit_history	purpose	credit_amount	savings_status	employment	installment_commitment	personal_status	other_parties	residence_since	property_magnitude	age	other_payment_plans	housing	existing_credits	job	num_dependents	own_telephone	foreign_worker	class
'<0'	6.00	'existing paid'	'used car'	1352.00	'500<=X<1000'	unemployed	1.00	'female div/dep/mar'	none	2.00	'life insurance'	23.00	none	rent	1.00	'unemp/unskilled non res'	1.00	yes	yes	good
'no checking'	11.00	'critical/other existing 	'new car'	7228.00	'<100'	'1<=X<4'	1.00	'male single'	none	4.00	'life insurance'	39.00	none	own	2.00	'unskilled resident'	1.00	none	yes	good
'no checking'	12.00	'existing paid'	radio/tv	2073.00	'100<=X<500'	'1<=X<4'	4.00	'female div/dep/mar'	'co applicant'	2.00	'real estate'	28.00	none	own	1.00	skilled	1.00	none	yes	good
'0<=X<200'	24.00	'delayed previously'	furniture/equipment	2333.00	'no known savings'	'<1'	4.00	'male single'	none	2.00	'life insurance'	29.00	bank	own	1.00	'unskilled resident'	1.00	none	yes	good
'0<=X<200'	27.00	'delayed previously'	'used car'	5965.00	'<100'	'>=7'	1.00	'male single'	none	2.00	car	30.00	none	own	2.00	'high qualif/self emp/mgm	1.00	yes	yes	good
'no checking'	12.00	'existing paid'	radio/tv	1262.00	'<100'	'1<=X<4'	3.00	'male single'	none	2.00	car	25.00	none	own	1.00	skilled	1.00	none	yes	good
'no checking'	18.00	'existing paid'	'used car'	3378.00	'no known savings'	'1<=X<4'	2.00	'male single'	none	1.00	'life insurance'	31.00	none	own	1.00	skilled	1.00	yes	yes	good
'0<=X<200'	36.00	'delayed previously'	'new car'	2225.00	'<100'	'>=7'	4.00	'male single'	none	4.00	'no known property'	57.00	bank	'for free'	2.00	skilled	1.00	yes	yes	bad
'no checking'	6.00	'all paid'	'new car'	783.00	'no known savings'	'1<=X<4'	1.00	'male single'	guarantor	2.00	'real estate'	26.00	stores	own	1.00	'unskilled resident'	2.00	none	yes	good
'0<=X<200'	12.00	'existing paid'	radio/tv	6468.00	'no known savings'	unemployed	2.00	'male single'	none	1.00	'no known property'	52.00	none	own	1.00	'high qualif/self emp/mgm	1.00	yes	yes	bad
'no checking'	36.00	'critical/other existing 	radio/tv	9566.00	'<100'	'1<=X<4'	2.00	'female div/dep/mar'	none	2.00	car	31.00	stores	own	2.00	skilled	1.00	none	yes	good
'>=200'	18.00	'existing paid'	'new car'	1961.00	'<100'	'>=7'	3.00	'female div/dep/mar'	none	2.00	car	23.00	none	own	1.00	'high qualif/self emp/mgm	1.00	none	yes	good
'<0'	36.00	'critical/other existing 	furniture/equipment	6229.00	'<100'	'<1'	4.00	'female div/dep/mar'	'co applicant'	4.00	'no known property'	23.00	none	rent	2.00	'unskilled resident'	1.00	yes	yes	bad
'0<=X<200'	9.00	'existing paid'	business	1391.00	'<100'	'1<=X<4'	2.00	'male mar/wid'	none	1.00	'real estate'	27.00	bank	own	1.00	skilled	1.00	yes	yes	good
'0<=X<200'	15.00	'critical/other existing 	radio/tv	1537.00	'no known savings'	'>=7'	4.00	'male single'	guarantor	4.00	'real estate'	50.00	none	own	2.00	skilled	1.00	yes	yes	good
'0<=X<200'	36.00	'no credits/all paid'	business	1953.00	'<100'	'>=7'	4.00	'male single'	none	4.00	'no known property'	61.00	none	'for free'	1.00	'high qualif/self emp/mgm	1.00	yes	yes	bad
'0<=X<200'	48.00	'no credits/all paid'	business	14421.00	'<100'	'1<=X<4'	2.00	'male single'	none	2.00	car	25.00	none	own	1.00	skilled	1.00	yes	yes	bad
'no checking'	24.00	'existing paid'	radio/tv	3181.00	'<100'	'<1'	4.00	'female div/dep/mar'	none	4.00	'life insurance'	26.00	none	own	1.00	skilled	1.00	yes	yes	good
'no checking'	27.00	'existing paid'	repairs	5190.00	'no known savings'	'>=7'	4.00	'male single'	none	4.00	'life insurance'	48.00	none	own	4.00	skilled	2.00	yes	yes	good
'no checking'	12.00	'existing paid'	radio/tv	2171.00	'<100'	'<1'	2.00	'female div/dep/mar'	none	2.00	car	29.00	bank	own	1.00	skilled	1.00	none	yes	good
'0<=X<200'	12.00	'existing paid'	'new car'	1007.00	'>=1000'	'1<=X<4'	4.00	'male mar/wid'	none	1.00	'real estate'	22.00	none	own	1.00	skilled	1.00	none	yes	good
'no checking'	36.00	'existing paid'	education	1819.00	'<100'	'1<=X<4'	4.00	'male single'	none	4.00	'no known property'	37.00	stores	'for free'	1.00	skilled	1.00	yes	yes	bad
'no checking'	36.00	'existing paid'	radio/tv	2394.00	'no known savings'	'1<=X<4'	4.00	'female div/dep/mar'	none	4.00	car	25.00	none	own	1.00	skilled	1.00	none	yes	good
'no checking'	36.00	'existing paid'	'used car'	8133.00	'<100'	'1<=X<4'	1.00	'female div/dep/mar'	none	2.00	'life insurance'	30.00	bank	own	1.00	skilled	1.00	none	yes	good
'no checking'	7.00	'critical/other existing 	radio/tv	730.00	'no known savings'	'>=7'	4.00	'male single'	none	2.00	'life insurance'	46.00	none	rent	2.00	'unskilled resident'	1.00	yes	yes	good
'<0'	8.00	'critical/other existing 	other	1164.00	'<100'	'>=7'	3.00	'male single'	none	4.00	'no known property'	51.00	bank	'for free'	2.00	'high qualif/self emp/mgm	2.00	yes	yes	good
'0<=X<200'	42.00	'critical/other existing 	business	5954.00	'<100'	'4<=X<7'	2.00	'female div/dep/mar'	none	1.00	'real estate'	41.00	bank	own	2.00	'unskilled resident'	1.00	none	yes	good
'<0'	36.00	'existing paid'	education	1977.00	'no known savings'	'>=7'	4.00	'male single'	none	4.00	'no known property'	40.00	none	own	1.00	'high qualif/self emp/mgm	1.00	yes	yes	bad
'<0'	12.00	'critical/other existing 	'used car'	1526.00	'<100'	'>=7'	4.00	'male single'	none	4.00	'no known property'	66.00	none	'for free'	2.00	'high qualif/self emp/mgm	1.00	none	yes	good
'<0'	42.00	'existing paid'	radio/tv	3965.00	'<100'	'<1'	4.00	'male single'	none	3.00	car	34.00	none	own	1.00	skilled	1.00	none	yes	bad
'0<=X<200'	11.00	'delayed previously'	radio/tv	4771.00	'<100'	'4<=X<7'	2.00	'male single'	none	4.00	'life insurance'	51.00	none	own	1.00	skilled	1.00	none	yes	good
'no checking'	54.00	'no credits/all paid'	'used car'	9436.00	'no known savings'	'1<=X<4'	2.00	'male single'	none	2.00	'life insurance'	39.00	none	own	1.00	'unskilled resident'	2.00	none	yes	good
'0<=X<200'	30.00	'existing paid'	furniture/equipment	3832.00	'<100'	'<1'	2.00	'male mar/wid'	none	1.00	'life insurance'	22.00	none	own	1.00	skilled	1.00	none	yes	good
'no checking'	24.00	'existing paid'	radio/tv	5943.00	'no known savings'	'<1'	1.00	'female div/dep/mar'	none	1.00	car	44.00	none	own	2.00	skilled	1.00	yes	yes	bad
'no checking'	15.00	'existing paid'	radio/tv	1213.00	'500<=X<1000'	'>=7'	4.00	'male single'	none	3.00	'life insurance'	47.00	stores	own	1.00	skilled	1.00	yes	yes	good
'no checking'	18.00	'existing paid'	business	1568.00	'100<=X<500'	'1<=X<4'	3.00	'female div/dep/mar'	none	4.00	'life insurance'	24.00	none	rent	1.00	'unskilled resident'	1.00	none	yes	good
'<0'	24.00	'existing paid'	other	1755.00	'<100'	'>=7'	4.00	'female div/dep/mar'	guarantor	4.00	'real estate'	58.00	none	own	1.00	'unskilled resident'	1.00	yes	yes	good
'<0'	10.00	'existing paid'	radio/tv	2315.00	'<100'	'>=7'	3.00	'male single'	none	4.00	'real estate'	52.00	none	own	1.00	'unskilled resident'	1.00	none	yes	good
'no checking'	12.00	'critical/other existing 	business	1412.00	'<100'	'1<=X<4'	4.00	'female div/dep/mar'	guarantor	2.00	'real estate'	29.00	none	own	2.00	'high qualif/self emp/mgm	1.00	yes	yes	good
'0<=X<200'	18.00	'critical/other existing 	furniture/equipment	1295.00	'<100'	'<1'	4.00	'female div/dep/mar'	none	1.00	'life insurance'	27.00	none	own	2.00	skilled	1.00	none	yes	good
'0<=X<200'	36.00	'existing paid'	education	12612.00	'100<=X<500'	'1<=X<4'	1.00	'male single'	none	4.00	'no known property'	47.00	none	'for free'	1.00	skilled	2.00	yes	yes	bad
'<0'	18.00	'existing paid'	'new car'	2249.00	'100<=X<500'	'4<=X<7'	4.00	'male single'	none	3.00	car	30.00	none	own	1.00	'high qualif/self emp/mgm	2.00	yes	yes	good
'<0'	12.00	'no credits/all paid'	repairs	1108.00	'<100'	'4<=X<7'	4.00	'male single'	none	3.00	'real estate'	28.00	none	own	2.00	skilled	1.00	none	yes	bad
'no checking'	12.00	'critical/other existing 	radio/tv	618.00	'<100'	'>=7'	4.00	'male single'	none	4.00	'real estate'	56.00	none	own	1.00	skilled	1.00	none	yes	good
'<0'	12.00	'critical/other existing 	'used car'	1409.00	'<100'	'>=7'	4.00	'male single'	none	3.00	'real estate'	54.00	none	own	1.00	skilled	1.00	none	yes	good
'no checking'	12.00	'critical/other existing 	radio/tv	797.00	'no known savings'	'>=7'	4.00	'female div/dep/mar'	none	3.00	'life insurance'	33.00	bank	own	1.00	'unskilled resident'	2.00	none	yes	bad
'>=200'	24.00	'critical/other existing 	furniture/equipment	3617.00	'no known savings'	'>=7'	4.00	'male single'	'co applicant'	4.00	'no known property'	20.00	none	rent	2.00	skilled	1.00	none	yes	good
'0<=X<200'	12.00	'existing paid'	'new car'	1318.00	'>=1000'	'>=7'	4.00	'male single'	none	4.00	'real estate'	54.00	none	own	1.00	skilled	1.00	yes	yes	good
'0<=X<200'	54.00	'no credits/all paid'	business	15945.00	'<100'	'<1'	3.00	'male single'	none	4.00	'no known property'	58.00	none	rent	1.00	skilled	1.00	yes	yes	bad
'no checking'	12.00	'critical/other existing 	education	2012.00	'no known savings'	'4<=X<7'	4.00	'female div/dep/mar'	none	2.00	car	61.00	none	own	1.00	skilled	1.00	none	yes	good
'0<=X<200'	18.00	'existing paid'	business	2622.00	'100<=X<500'	'1<=X<4'	4.00	'male single'	none	4.00	car	34.00	none	own	1.00	skilled	1.00	none	yes	good
'0<=X<200'	36.00	'critical/other existing 	radio/tv	2337.00	'<100'	'>=7'	4.00	'male single'	none	4.00	'real estate'	36.00	none	own	1.00	skilled	1.00	none	yes	good
'0<=X<200'	20.00	'delayed previously'	'used car'	7057.00	'no known savings'	'4<=X<7'	3.00	'male single'	none	4.00	'life insurance'	36.00	bank	rent	2.00	'high qualif/self emp/mgm	2.00	yes	yes	good
'no checking'	24.00	'existing paid'	'new car'	1469.00	'100<=X<500'	'>=7'	4.00	'male mar/wid'	none	4.00	'real estate'	41.00	none	rent	1.00	'unskilled resident'	1.00	none	yes	good
'0<=X<200'	36.00	'existing paid'	radio/tv	2323.00	'<100'	'4<=X<7'	4.00	'male single'	none	4.00	car	24.00	none	rent	1.00	skilled	1.00	none	yes	good
'no checking'	6.00	'delayed previously'	radio/tv	932.00	'<100'	'1<=X<4'	3.00	'female div/dep/mar'	none	2.00	'real estate'	24.00	none	own	1.00	skilled	1.00	none	yes	good
'0<=X<200'	9.00	'critical/other existing 	furniture/equipment	1919.00	'<100'	'4<=X<7'	4.00	'male single'	none	3.00	car	35.00	none	rent	1.00	skilled	1.00	yes	yes	good
'no checking'	12.00	'existing paid'	'used car'	2445.00	'no known savings'	'<1'	2.00	'male mar/wid'	none	4.00	car	26.00	none	rent	1.00	skilled	1.00	yes	yes	good
'0<=X<200'	24.00	'critical/other existing 	other	11938.00	'<100'	'1<=X<4'	2.00	'male single'	'co applicant'	3.00	car	39.00	none	own	2.00	'high qualif/self emp/mgm	2.00	yes	yes	bad
'no checking'	18.00	'all paid'	'new car'	6458.00	'<100'	'>=7'	2.00	'male single'	none	4.00	'no known property'	39.00	bank	own	2.00	'high qualif/self emp/mgm	2.00	yes	yes	bad
'0<=X<200'	12.00	'existing paid'	'new car'	6078.00	'<100'	'4<=X<7'	2.00	'male single'	none	2.00	car	32.00	none	own	1.00	skilled	1.00	none	yes	good
'<0'	24.00	'existing paid'	furniture/equipment	7721.00	'no known savings'	'<1'	1.00	'female div/dep/mar'	none	2.00	'life insurance'	30.00	none	own	1.00	skilled	1.00	yes	no	good
'0<=X<200'	14.00	'existing paid'	business	1410.00	'500<=X<1000'	'>=7'	1.00	'male mar/wid'	none	2.00	'real estate'	35.00	none	own	1.00	skilled	1.00	yes	yes	good
'0<=X<200'	6.00	'delayed previously'	business	1449.00	'100<=X<500'	'>=7'	1.00	'male div/sep'	none	2.00	car	31.00	bank	own	2.00	skilled	2.00	none	yes	good
'>=200'	15.00	'existing paid'	education	392.00	'<100'	'<1'	4.00	'female div/dep/mar'	none	4.00	'life insurance'	23.00	none	rent	1.00	skilled	1.00	yes	yes	good
'0<=X<200'	18.00	'existing paid'	'new car'	6260.00	'<100'	'4<=X<7'	3.00	'male single'	none	3.00	'real estate'	28.00	none	rent	1.00	'unskilled resident'	1.00	none	yes	good
'no checking'	36.00	'critical/other existing 	'new car'	7855.00	'<100'	'1<=X<4'	4.00	'female div/dep/mar'	none	2.00	'real estate'	25.00	stores	own	2.00	skilled	1.00	yes	yes	bad
'<0'	12.00	'existing paid'	radio/tv	1680.00	'500<=X<1000'	'>=7'	3.00	'male mar/wid'	none	1.00	'real estate'	35.00	none	own	1.00	skilled	1.00	none	yes	good
'no checking'	48.00	'critical/other existing 	radio/tv	3578.00	'no known savings'	'>=7'	4.00	'male single'	none	1.00	'real estate'	47.00	none	own	1.00	skilled	1.00	yes	yes	good
'<0'	42.00	'existing paid'	radio/tv	7174.00	'no known savings'	'4<=X<7'	4.00	'female div/dep/mar'	none	3.00	car	30.00	none	own	1.00	'high qualif/self emp/mgm	1.00	yes	yes	bad
'<0'	10.00	'critical/other existing 	furniture/equipment	2132.00	'no known savings'	'<1'	2.00	'female div/dep/mar'	'co applicant'	3.00	'real estate'	27.00	none	rent	2.00	skilled	1.00	none	no	good
'<0'	33.00	'critical/other existing 	furniture/equipment	4281.00	'500<=X<1000'	'1<=X<4'	1.00	'female div/dep/mar'	none	4.00	car	23.00	none	own	2.00	skilled	1.00	none	yes	bad
'0<=X<200'	12.00	'critical/other existing 	'new car'	2366.00	'500<=X<1000'	'4<=X<7'	3.00	'male div/sep'	none	3.00	car	36.00	none	own	1.00	'high qualif/self emp/mgm	1.00	yes	yes	good
'<0'	21.00	'existing paid'	radio/tv	1835.00	'<100'	'1<=X<4'	3.00	'female div/dep/mar'	none	2.00	'real estate'	25.00	none	own	2.00	skilled	1.00	yes	yes	bad
'no checking'	24.00	'critical/other existing 	'used car'	3868.00	'<100'	'>=7'	4.00	'female div/dep/mar'	none	2.00	car	41.00	none	rent	2.00	'high qualif/self emp/mgm	1.00	yes	yes	good
'no checking'	12.00	'existing paid'	furniture/equipment	1768.00	'<100'	'1<=X<4'	3.00	'male single'	none	2.00	'real estate'	24.00	none	rent	1.00	'unskilled resident'	1.00	none	yes	good
'>=200'	10.00	'critical/other existing 	'new car'	781.00	'<100'	'>=7'	4.00	'male single'	none	4.00	'no known property'	63.00	none	'for free'	2.00	skilled	1.00	yes	yes	good
'0<=X<200'	18.00	'existing paid'	furniture/equipment	1924.00	'no known savings'	'<1'	4.00	'female div/dep/mar'	none	3.00	'real estate'	27.00	none	rent	1.00	skilled	1.00	none	yes	bad
'<0'	12.00	'critical/other existing 	'new car'	2121.00	'<100'	'1<=X<4'	4.00	'male single'	none	2.00	'life insurance'	30.00	none	own	2.00	skilled	1.00	none	yes	good
'<0'	12.00	'existing paid'	radio/tv	701.00	'<100'	'1<=X<4'	4.00	'male mar/wid'	none	2.00	'real estate'	40.00	none	own	1.00	'unskilled resident'	1.00	none	yes	good
'0<=X<200'	12.00	'existing paid'	repairs	639.00	'<100'	'1<=X<4'	4.00	'male single'	none	2.00	car	30.00	none	own	1.00	skilled	1.00	none	yes	bad
'0<=X<200'	12.00	'critical/other existing 	'used car'	1860.00	'<100'	unemployed	4.00	'male single'	none	2.00	car	34.00	none	own	2.00	'high qualif/self emp/mgm	1.00	yes	yes	good
'<0'	12.00	'critical/other existing 	'new car'	3499.00	'<100'	'1<=X<4'	3.00	'female div/dep/mar'	'co applicant'	2.00	'real estate'	29.00	none	own	2.00	skilled	1.00	none	yes	bad
'0<=X<200'	48.00	'existing paid'	'new car'	8487.00	'no known savings'	'4<=X<7'	1.00	'female div/dep/mar'	none	2.00	car	24.00	none	own	1.00	skilled	1.00	none	yes	good
'<0'	36.00	'delayed previously'	education	6887.00	'<100'	'1<=X<4'	4.00	'male single'	none	3.00	'life insurance'	29.00	stores	own	1.00	skilled	1.00	yes	yes	bad
'no checking'	15.00	'existing paid'	furniture/equipment	2708.00	'<100'	'<1'	2.00	'male single'	none	3.00	'life insurance'	27.00	bank	own	2.00	'unskilled resident'	1.00	none	yes	good
'no checking'	18.00	'existing paid'	furniture/equipment	1984.00	'<100'	'1<=X<4'	4.00	'male single'	none	4.00	'no known property'	47.00	bank	'for free'	2.00	skilled	1.00	none	yes	good
'no checking'	60.00	'existing paid'	radio/tv	10144.00	'100<=X<500'	'4<=X<7'	2.00	'female div/dep/mar'	none	4.00	'real estate'	21.00	none	own	1.00	skilled	1.00	yes	yes	good
'no checking'	12.00	'critical/other existing 	radio/tv	1240.00	'no known savings'	'>=7'	4.00	'female div/dep/mar'	none	2.00	'real estate'	38.00	none	own	2.00	skilled	1.00	yes	yes	good
'no checking'	27.00	'delayed previously'	'used car'	8613.00	'>=1000'	'1<=X<4'	2.00	'male single'	none	2.00	car	27.00	none	own	2.00	skilled	1.00	none	yes	good
'0<=X<200'	12.00	'existing paid'	radio/tv	766.00	'500<=X<1000'	'1<=X<4'	4.00	'male single'	none	3.00	'real estate'	66.00	none	own	1.00	'unskilled resident'	1.00	none	yes	bad
'0<=X<200'	15.00	'critical/other existing 	radio/tv	2728.00	'no known savings'	'4<=X<7'	4.00	'male single'	guarantor	2.00	'real estate'	35.00	bank	own	3.00	skilled	1.00	yes	yes	good
'>=200'	12.00	'existing paid'	radio/tv	1881.00	'<100'	'1<=X<4'	2.00	'female div/dep/mar'	none	2.00	car	44.00	none	rent	1.00	'unskilled resident'	1.00	yes	yes	good
'>=200'	6.00	'existing paid'	'new car'	709.00	'>=1000'	'<1'	2.00	'male mar/wid'	none	2.00	'real estate'	27.00	none	own	1.00	'unemp/unskilled non res'	1.00	none	no	good
'0<=X<200'	36.00	'existing paid'	radio/tv	4795.00	'<100'	'<1'	4.00	'female div/dep/mar'	none	1.00	'no known property'	30.00	none	own	1.00	'high qualif/self emp/mgm	1.00	yes	yes	good
'<0'	27.00	'existing paid'	radio/tv	3416.00	'<100'	'1<=X<4'	3.00	'male single'	none	2.00	car	27.00	none	own	1.00	'high qualif/self emp/mgm	1.00	none	yes	good
