region-centroid-col	region-centroid-row	region-pixel-count	short-line-density-5	short-line-density-2	vedge-mean	vegde-sd	hedge-mean	hedge-sd	intensity-mean	rawred-mean	rawblue-mean	rawgreen-mean	exred-mean	exblue-mean	exgreen-mean	value-mean	saturation-mean	hue-mean	class
90.00	101.00	9.00	0.11	0.00	0.89	0.39	1.72	1.89	20.07	20.33	25.00	14.89	0.78	14.78	-15.56	25.00	0.40	-1.52	brickface
180.00	224.00	9.00	0.00	0.00	3.72	3.71	3.61	5.62	15.19	11.67	13.33	20.56	-10.56	-5.56	16.11	20.56	0.44	2.30	grass
96.00	13.00	9.00	0.00	0.00	0.83	0.48	0.56	0.21	131.78	122.11	144.78	128.44	-29.00	39.00	-10.00	144.78	0.16	-2.39	sky
112.00	90.00	9.00	0.00	0.00	7.39	6.95	1.28	0.88	65.19	57.67	79.78	58.11	-22.56	43.78	-21.22	79.78	0.28	-2.11	cement
215.00	182.00	9.00	0.00	0.00	2.56	1.47	2.72	1.98	54.19	48.56	67.22	46.78	-16.89	39.11	-22.22	67.22	0.30	-2.00	path
225.00	58.00	9.00	0.00	0.00	0.33	0.42	0.44	0.34	8.33	5.56	14.11	5.33	-8.33	17.33	-9.00	14.11	0.62	-2.07	window
88.00	89.00	9.00	0.00	0.00	0.78	0.39	3.67	4.04	22.33	21.67	28.44	16.89	-2.00	18.33	-16.33	28.44	0.40	-1.63	brickface
91.00	120.00	9.00	0.00	0.00	1.39	0.93	0.61	0.77	16.85	11.22	25.78	13.56	-16.89	26.78	-9.89	25.78	0.56	-2.23	foliage
57.00	42.00	9.00	0.00	0.00	2.33	0.87	1.00	0.70	37.44	32.78	47.78	31.78	-14.00	31.00	-17.00	47.78	0.33	-2.03	cement
211.00	130.00	9.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	window
37.00	120.00	9.00	0.00	0.00	0.83	0.34	1.06	0.46	1.93	0.22	4.44	1.11	-5.11	7.56	-2.44	4.44	0.96	-2.30	foliage
54.00	140.00	9.00	0.11	0.00	0.72	0.44	1.78	1.05	8.33	3.78	14.00	7.22	-13.67	17.00	-3.33	14.00	0.73	-2.44	foliage
194.00	72.00	9.00	0.00	0.00	1.00	0.40	1.17	1.14	93.44	79.22	117.11	84.00	-42.67	71.00	-28.33	117.11	0.32	-2.23	sky
86.00	88.00	9.00	0.11	0.00	2.06	1.89	1.72	3.40	21.15	21.44	26.33	15.67	0.89	15.56	-16.44	26.33	0.41	-1.51	brickface
71.00	180.00	9.00	0.11	0.00	1.22	0.56	3.00	1.87	22.33	18.33	21.44	27.22	-12.00	-2.67	14.67	27.22	0.33	2.45	grass
127.00	120.00	9.00	0.11	0.00	1.67	0.84	3.22	4.03	23.67	22.11	30.44	18.44	-4.67	20.33	-15.67	30.44	0.39	-1.76	brickface
140.00	124.00	9.00	0.00	0.00	1.00	0.44	1.11	1.05	2.52	0.22	6.11	1.22	-6.89	10.78	-3.89	6.11	0.97	-2.27	foliage
48.00	81.00	9.00	0.00	0.00	0.61	0.24	0.89	0.43	112.93	105.67	128.89	104.22	-21.78	47.89	-26.11	128.89	0.19	-2.03	sky
14.00	138.00	9.00	0.00	0.00	0.50	0.12	0.50	0.08	4.96	6.78	5.44	2.67	5.44	1.44	-6.89	6.78	0.60	-0.72	brickface
97.00	130.00	9.00	0.00	0.00	0.72	0.51	1.06	0.69	5.85	7.33	6.89	3.33	4.44	3.11	-7.56	7.67	0.57	-0.96	brickface
110.00	182.00	9.00	0.00	0.00	2.39	1.79	2.56	1.56	46.37	42.67	56.33	40.11	-11.11	29.89	-18.78	56.33	0.29	-1.93	path
245.00	238.00	9.00	0.11	0.00	1.67	2.54	2.33	2.44	8.93	6.33	6.56	13.89	-7.78	-7.11	14.89	13.89	0.60	2.13	grass
82.00	138.00	9.00	0.00	0.00	0.89	0.52	0.89	0.39	1.41	0.00	3.78	0.44	-4.22	7.11	-2.89	3.78	1.00	-2.17	foliage
132.00	84.00	9.00	0.00	0.00	3.00	1.23	0.89	0.46	8.89	7.33	11.78	7.56	-4.67	8.67	-4.00	11.78	0.38	-2.14	cement
235.00	196.00	9.00	0.00	0.00	1.67	1.33	2.22	1.15	47.26	41.78	58.56	41.44	-16.44	33.89	-17.44	58.56	0.29	-2.07	path
147.00	87.00	9.00	0.00	0.00	6.83	6.62	1.56	1.70	43.33	37.89	54.89	37.22	-16.33	34.67	-18.33	54.89	0.32	-2.05	cement
4.00	210.00	9.00	0.00	0.00	4.72	4.02	5.72	2.18	49.74	44.22	62.22	42.78	-16.56	37.44	-20.89	62.22	0.31	-2.01	path
98.00	41.00	9.00	0.00	0.00	1.72	0.77	1.11	0.87	137.15	130.67	147.22	133.56	-19.44	30.22	-10.78	147.22	0.11	-2.27	sky
222.00	114.00	9.00	0.00	0.00	0.28	0.06	0.44	0.07	5.44	6.11	7.33	2.89	2.00	5.67	-7.67	7.33	0.60	-1.31	brickface
122.00	123.00	9.00	0.00	0.00	0.61	0.37	0.50	0.21	1.19	0.00	3.33	0.22	-3.56	6.44	-2.89	3.33	1.00	-2.14	foliage
129.00	157.00	9.00	0.00	0.00	2.44	3.54	2.22	1.72	23.15	18.22	32.00	19.22	-14.78	26.56	-11.78	32.00	0.43	-2.17	cement
140.00	161.00	9.00	0.00	0.00	0.28	0.33	0.78	0.62	15.74	12.44	14.33	20.44	-9.89	-4.22	14.11	20.44	0.39	2.35	grass
175.00	188.00	9.00	0.00	0.00	3.00	2.57	2.33	1.30	55.78	49.67	69.11	48.56	-18.33	40.00	-21.67	69.11	0.30	-2.04	path
192.00	142.00	9.00	0.11	0.00	0.50	0.12	1.50	0.52	4.67	6.78	4.89	2.33	6.33	0.67	-7.00	6.78	0.66	-0.60	brickface
101.00	72.00	9.00	0.00	0.00	2.50	4.74	1.78	6.30	26.48	23.56	35.78	20.11	-8.78	27.89	-19.11	35.78	0.44	-1.85	brickface
211.00	107.00	9.00	0.11	0.00	2.56	2.25	2.06	2.82	16.74	11.78	25.78	12.67	-14.89	27.11	-12.22	25.78	0.55	-2.16	window
140.00	125.00	9.00	0.00	0.00	0.28	0.06	0.67	0.31	6.19	7.33	7.67	3.56	3.44	4.44	-7.89	7.78	0.55	-1.12	brickface
221.00	107.00	9.00	0.00	0.00	1.17	0.21	0.83	0.34	2.22	0.33	5.33	1.00	-5.67	9.33	-3.67	5.33	0.95	-2.23	foliage
168.00	13.00	9.00	0.11	0.00	1.33	0.44	1.33	0.40	130.41	119.67	145.44	126.11	-32.22	45.11	-12.89	145.44	0.18	-2.36	sky
200.00	250.00	9.00	0.00	0.00	2.28	1.42	1.44	1.03	9.22	6.56	7.33	13.78	-8.00	-5.67	13.67	13.78	0.56	2.19	grass
23.00	85.00	9.00	0.00	0.00	1.44	1.05	1.78	0.96	17.96	18.89	21.89	13.11	2.78	11.78	-14.56	21.89	0.40	-1.39	brickface
65.00	143.00	9.00	0.00	0.00	0.33	0.13	0.44	0.07	5.04	6.56	5.89	2.67	4.56	2.56	-7.11	6.67	0.60	-0.91	brickface
108.00	128.00	9.00	0.00	0.00	7.06	4.37	1.67	1.05	53.26	46.33	67.11	46.33	-20.78	41.56	-20.78	67.11	0.31	-2.09	cement
17.00	64.00	9.00	0.00	0.00	1.44	1.36	1.67	1.42	18.89	17.56	25.11	14.00	-4.00	18.67	-14.67	25.11	0.44	-1.76	brickface
187.00	134.00	9.00	0.11	0.00	3.00	2.04	1.11	0.39	26.70	20.33	37.44	22.33	-19.11	32.22	-13.11	37.44	0.46	-2.22	window
197.00	121.00	9.00	0.00	0.00	21.67	17.36	0.94	0.90	41.04	37.44	49.44	36.22	-10.78	25.22	-14.44	49.44	0.28	-2.00	cement
188.00	42.00	9.00	0.00	0.00	0.78	0.54	1.67	1.26	108.93	95.67	126.22	104.89	-39.78	51.89	-12.11	126.22	0.24	-2.41	sky
99.00	130.00	9.00	0.00	0.00	0.56	0.46	0.56	0.54	1.37	0.11	3.33	0.67	-3.78	5.89	-2.11	3.33	0.98	-2.24	foliage
95.00	71.00	9.00	0.00	0.00	1.06	1.09	2.22	3.76	105.67	96.67	122.44	97.89	-27.00	50.33	-23.33	122.44	0.21	-2.14	sky
153.00	192.00	9.00	0.00	0.00	3.39	1.78	7.44	4.13	53.44	47.33	65.00	48.00	-18.33	34.67	-16.33	65.00	0.27	-2.16	path
118.00	167.00	9.00	0.11	0.00	0.89	0.52	2.06	1.00	14.59	12.89	13.78	17.11	-5.11	-2.44	7.56	17.11	0.25	2.31	grass
69.00	75.00	9.00	0.11	0.00	2.11	1.41	1.50	2.21	22.74	22.00	29.33	16.89	-2.22	19.78	-17.56	29.33	0.42	-1.64	brickface
98.00	119.00	9.00	0.22	0.00	1.44	0.52	2.56	5.59	21.59	21.33	27.33	16.11	-0.78	17.22	-16.44	27.33	0.41	-1.58	brickface
59.00	116.00	9.00	0.00	0.00	3.00	2.81	0.78	0.46	21.96	17.89	29.56	18.44	-12.22	22.78	-10.56	29.56	0.40	-2.14	window
14.00	28.00	9.00	0.00	0.00	0.56	0.07	1.22	0.43	110.48	97.89	131.11	102.44	-37.78	61.89	-24.11	131.11	0.25	-2.24	sky
228.00	42.00	9.00	0.11	0.00	2.06	1.56	4.33	2.23	44.56	39.56	54.11	40.00	-15.00	28.67	-13.67	54.11	0.27	-2.12	cement
116.00	35.00	9.00	0.00	0.00	0.83	0.78	0.89	0.54	125.18	113.78	141.33	120.44	-34.22	48.44	-14.22	141.33	0.19	-2.35	sky
45.00	108.00	9.00	0.00	0.11	25.50	12.80	27.28	15.93	49.81	41.78	61.11	46.56	-24.11	33.89	-9.78	61.11	0.36	-2.36	foliage
127.00	118.00	9.00	0.00	0.00	11.56	10.23	0.83	0.69	34.33	30.78	41.67	30.56	-10.67	22.00	-11.33	41.67	0.29	-2.08	cement
152.00	220.00	9.00	0.00	0.00	0.94	0.69	1.44	2.16	14.63	11.56	13.11	19.22	-9.22	-4.56	13.78	19.22	0.42	2.31	grass
28.00	131.00	9.00	0.00	0.00	0.22	0.07	0.78	0.21	5.19	6.67	6.00	2.89	4.44	2.44	-6.89	6.67	0.57	-0.87	brickface
181.00	15.00	9.00	0.00	0.00	0.83	0.21	1.44	1.23	140.30	133.89	149.56	137.44	-19.22	27.78	-8.56	149.56	0.10	-2.33	sky
201.00	125.00	9.00	0.11	0.00	1.72	1.34	8.56	5.73	43.37	41.67	49.00	39.44	-5.11	16.89	-11.78	49.00	0.19	-1.84	cement
201.00	125.00	9.00	0.00	0.00	1.00	0.44	9.94	103.75	42.81	39.11	51.78	37.56	-11.11	26.89	-15.78	51.78	0.27	-1.97	cement
59.00	120.00	9.00	0.00	0.00	2.17	1.99	1.44	1.87	19.07	10.56	33.11	13.56	-25.56	42.11	-16.56	33.11	0.68	-2.23	foliage
21.00	64.00	9.00	0.00	0.00	16.28	12.95	20.22	17.63	31.00	24.67	38.00	30.33	-19.00	21.00	-2.00	38.00	0.40	-2.59	foliage
196.00	95.00	9.00	0.00	0.00	1.72	1.12	1.33	1.26	7.63	6.78	10.78	5.33	-2.56	9.44	-6.89	10.78	0.51	-1.75	window
63.00	19.00	9.00	0.00	0.00	2.44	1.19	1.44	0.89	45.19	38.00	58.78	38.78	-21.56	40.78	-19.22	58.78	0.36	-2.13	cement
45.00	108.00	9.00	0.00	0.11	25.50	12.80	27.28	15.93	49.81	41.78	61.11	46.56	-24.11	33.89	-9.78	61.11	0.36	-2.36	foliage
123.00	183.00	9.00	0.00	0.00	1.11	0.65	6.33	36.93	32.26	29.44	39.11	28.22	-8.44	20.56	-12.11	39.11	0.27	-1.97	path
95.00	109.00	9.00	0.00	0.00	1.00	0.49	1.94	2.73	17.26	19.22	20.00	12.56	5.89	8.22	-14.11	20.44	0.38	-1.13	brickface
187.00	89.00	9.00	0.00	0.00	3.00	1.61	1.11	1.07	8.44	6.33	13.00	6.00	-6.33	13.67	-7.33	13.00	0.55	-2.04	window
115.00	111.00	9.00	0.00	0.00	0.56	0.40	1.94	1.04	18.04	9.67	30.11	14.33	-25.11	36.22	-11.11	30.11	0.68	-2.33	foliage
108.00	123.00	9.00	0.00	0.00	0.61	0.24	0.67	0.27	6.74	8.22	8.00	4.00	4.44	3.78	-8.22	8.44	0.52	-0.99	brickface
206.00	61.00	9.00	0.00	0.00	0.56	0.40	0.50	0.46	7.07	4.67	12.22	4.33	-7.22	15.44	-8.22	12.22	0.65	-2.05	window
34.00	169.00	9.00	0.00	0.00	0.83	0.51	1.61	0.88	12.81	10.67	9.78	18.00	-6.44	-9.11	15.56	18.00	0.46	1.99	grass
4.00	96.00	9.00	0.00	0.00	2.22	2.96	1.56	2.25	3.56	0.89	7.78	2.00	-8.00	12.67	-4.67	7.78	0.91	-2.24	foliage
29.00	81.00	9.00	0.11	0.00	2.61	3.75	2.72	3.75	20.48	20.11	26.11	15.22	-1.11	16.89	-15.78	26.11	0.41	-1.57	brickface
129.00	184.00	9.00	0.11	0.00	2.22	0.91	3.61	1.82	45.22	41.78	54.44	39.44	-10.33	27.67	-17.33	54.44	0.28	-1.93	path
88.00	136.00	9.00	0.00	0.00	1.83	1.15	2.06	2.11	8.00	4.11	13.22	6.67	-11.67	15.67	-4.00	13.22	0.70	-2.41	foliage
21.00	123.00	9.00	0.00	0.00	0.89	0.39	1.00	0.36	19.30	15.67	26.33	15.89	-10.89	21.11	-10.22	26.33	0.41	-2.12	cement
73.00	19.00	9.00	0.00	0.00	0.94	0.39	0.94	0.68	127.52	116.56	143.11	122.89	-32.89	46.78	-13.89	143.11	0.19	-2.34	sky
70.00	38.00	9.00	0.00	0.00	1.22	0.27	1.00	0.76	58.00	50.00	74.33	49.67	-24.00	49.00	-25.00	74.33	0.34	-2.08	cement
135.00	211.00	9.00	0.00	0.00	1.89	1.33	2.17	1.15	17.96	14.44	16.33	23.11	-10.56	-4.89	15.44	23.11	0.38	2.33	grass
151.00	163.00	9.00	0.00	0.00	2.06	2.29	18.17	41.99	40.00	34.56	48.00	37.44	-16.33	24.00	-7.67	48.11	0.26	-2.52	path
161.00	154.00	9.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	window
223.00	175.00	9.00	0.00	0.00	3.78	3.12	7.17	4.69	57.85	50.78	72.78	50.00	-21.22	44.78	-23.56	72.78	0.31	-2.06	path
253.00	75.00	9.00	0.00	0.00	0.67	0.27	0.89	0.39	88.56	72.00	115.89	77.78	-49.67	82.00	-32.33	115.89	0.38	-2.23	sky
93.00	190.00	9.00	0.00	0.00	5.50	1.82	2.61	3.23	53.59	47.33	66.89	46.56	-18.78	39.89	-21.11	66.89	0.30	-2.05	path
230.00	113.00	9.00	0.00	0.00	1.11	0.50	0.56	0.54	21.59	18.11	27.89	18.78	-10.44	18.89	-8.44	27.89	0.35	-2.16	window
139.00	128.00	9.00	0.00	0.00	2.94	7.89	3.17	12.43	5.30	2.44	9.56	3.89	-8.56	12.78	-4.22	9.56	0.80	-2.30	foliage
205.00	194.00	9.00	0.00	0.00	1.61	1.20	5.39	3.04	41.30	37.11	50.44	36.33	-12.56	27.44	-14.89	50.44	0.28	-2.04	path
57.00	229.00	9.00	0.00	0.00	2.72	2.06	3.44	1.41	14.63	12.00	13.56	18.33	-7.89	-3.22	11.11	18.33	0.35	2.35	grass
95.00	57.00	9.00	0.00	0.00	1.83	3.41	2.11	1.72	26.30	24.67	34.44	19.78	-4.89	24.44	-19.56	34.44	0.43	-1.74	brickface
156.00	188.00	9.00	0.00	0.00	4.28	2.31	5.00	3.75	61.26	55.11	75.67	53.00	-18.44	43.22	-24.78	75.67	0.30	-2.00	path
62.00	200.00	9.00	0.00	0.00	2.28	2.13	3.78	1.78	61.04	54.11	76.44	52.56	-20.78	46.22	-25.44	76.44	0.31	-2.03	path
230.00	117.00	9.00	0.00	0.00	3.28	0.93	1.44	0.86	39.04	33.56	49.78	33.78	-16.44	32.22	-15.78	49.78	0.34	-2.11	cement
199.00	120.00	9.00	0.00	0.00	3.50	4.08	8.33	53.96	39.33	35.44	47.78	34.78	-11.67	25.33	-13.67	47.78	0.27	-2.05	cement
202.00	208.00	9.00	0.00	0.00	1.72	1.40	1.83	3.06	19.26	15.56	17.67	24.56	-11.11	-4.78	15.89	24.56	0.37	2.40	grass
23.00	172.00	9.00	0.00	0.00	1.33	0.89	9.17	5.86	42.33	38.00	51.22	37.78	-13.00	26.67	-13.67	51.22	0.27	-2.13	path
63.00	13.00	9.00	0.00	0.00	1.17	1.01	0.94	0.69	141.82	137.11	148.89	139.44	-14.11	21.22	-7.11	148.89	0.08	-2.28	sky
93.00	46.00	9.00	0.00	0.00	2.11	1.63	1.78	1.81	126.04	116.00	141.00	121.11	-30.11	44.89	-14.78	141.00	0.18	-2.30	sky
140.00	125.00	9.00	0.00	0.00	0.67	0.22	2.67	3.78	3.93	1.56	7.78	2.44	-7.11	11.56	-4.44	7.78	0.85	-2.23	foliage
