left-weight	left-distance	right-weight	right-distance	class
2.00	1.00	3.00	5.00	R
2.00	1.00	4.00	1.00	R
2.00	1.00	4.00	2.00	R
2.00	1.00	4.00	3.00	R
2.00	1.00	4.00	4.00	R
2.00	1.00	4.00	5.00	R
2.00	1.00	5.00	1.00	R
2.00	1.00	5.00	2.00	R
2.00	1.00	5.00	3.00	R
2.00	1.00	5.00	4.00	R
2.00	1.00	5.00	5.00	R
2.00	2.00	1.00	1.00	L
2.00	2.00	1.00	2.00	L
2.00	2.00	1.00	3.00	L
2.00	2.00	1.00	4.00	B
2.00	2.00	1.00	5.00	R
2.00	2.00	2.00	1.00	L
2.00	2.00	2.00	2.00	B
2.00	2.00	2.00	3.00	R
2.00	2.00	2.00	4.00	R
2.00	2.00	2.00	5.00	R
2.00	2.00	3.00	1.00	L
2.00	2.00	3.00	2.00	R
2.00	2.00	3.00	3.00	R
2.00	2.00	3.00	4.00	R
2.00	2.00	3.00	5.00	R
2.00	2.00	4.00	1.00	B
2.00	2.00	4.00	2.00	R
2.00	2.00	4.00	3.00	R
2.00	2.00	4.00	4.00	R
2.00	2.00	4.00	5.00	R
2.00	2.00	5.00	1.00	R
2.00	2.00	5.00	2.00	R
2.00	2.00	5.00	3.00	R
2.00	2.00	5.00	4.00	R
2.00	2.00	5.00	5.00	R
2.00	3.00	1.00	1.00	L
2.00	3.00	1.00	2.00	L
2.00	3.00	1.00	3.00	L
2.00	3.00	1.00	4.00	L
2.00	3.00	1.00	5.00	L
2.00	3.00	2.00	1.00	L
2.00	3.00	2.00	2.00	L
2.00	3.00	2.00	3.00	B
2.00	3.00	2.00	4.00	R
2.00	3.00	2.00	5.00	R
2.00	3.00	3.00	1.00	L
2.00	3.00	3.00	2.00	B
2.00	3.00	3.00	3.00	R
2.00	3.00	3.00	4.00	R
2.00	3.00	3.00	5.00	R
2.00	3.00	4.00	1.00	L
2.00	3.00	4.00	2.00	R
2.00	3.00	4.00	3.00	R
2.00	3.00	4.00	4.00	R
2.00	3.00	4.00	5.00	R
2.00	3.00	5.00	1.00	L
2.00	3.00	5.00	2.00	R
2.00	3.00	5.00	3.00	R
2.00	3.00	5.00	4.00	R
2.00	3.00	5.00	5.00	R
2.00	4.00	1.00	1.00	L
2.00	4.00	1.00	2.00	L
2.00	4.00	1.00	3.00	L
2.00	4.00	1.00	4.00	L
2.00	4.00	1.00	5.00	L
2.00	4.00	2.00	1.00	L
2.00	4.00	2.00	2.00	L
2.00	4.00	2.00	3.00	L
2.00	4.00	2.00	4.00	B
2.00	4.00	2.00	5.00	R
2.00	4.00	3.00	1.00	L
2.00	4.00	3.00	2.00	L
2.00	4.00	3.00	3.00	R
2.00	4.00	3.00	4.00	R
2.00	4.00	3.00	5.00	R
2.00	4.00	4.00	1.00	L
2.00	4.00	4.00	2.00	B
2.00	4.00	4.00	3.00	R
2.00	4.00	4.00	4.00	R
2.00	4.00	4.00	5.00	R
2.00	4.00	5.00	1.00	L
2.00	4.00	5.00	2.00	R
2.00	4.00	5.00	3.00	R
2.00	4.00	5.00	4.00	R
2.00	4.00	5.00	5.00	R
2.00	5.00	1.00	1.00	L
2.00	5.00	1.00	2.00	L
2.00	5.00	1.00	3.00	L
2.00	5.00	1.00	4.00	L
2.00	5.00	1.00	5.00	L
2.00	5.00	2.00	1.00	L
2.00	5.00	2.00	2.00	L
2.00	5.00	2.00	3.00	L
2.00	5.00	2.00	4.00	L
2.00	5.00	2.00	5.00	B
2.00	5.00	3.00	1.00	L
2.00	5.00	3.00	2.00	L
2.00	5.00	3.00	3.00	L
2.00	5.00	3.00	4.00	R
2.00	5.00	3.00	5.00	R
2.00	5.00	4.00	1.00	L
2.00	5.00	4.00	2.00	L
2.00	5.00	4.00	3.00	R
2.00	5.00	4.00	4.00	R
2.00	5.00	4.00	5.00	R
2.00	5.00	5.00	1.00	L
2.00	5.00	5.00	2.00	B
2.00	5.00	5.00	3.00	R
2.00	5.00	5.00	4.00	R
2.00	5.00	5.00	5.00	R
3.00	1.00	1.00	1.00	L
3.00	1.00	1.00	2.00	L
3.00	1.00	1.00	3.00	B
3.00	1.00	1.00	4.00	R
3.00	1.00	1.00	5.00	R
3.00	1.00	2.00	1.00	L
3.00	1.00	2.00	2.00	R
3.00	1.00	2.00	3.00	R
3.00	1.00	2.00	4.00	R
3.00	1.00	2.00	5.00	R
3.00	1.00	3.00	1.00	B
3.00	1.00	3.00	2.00	R
3.00	1.00	3.00	3.00	R
3.00	1.00	3.00	4.00	R
3.00	1.00	3.00	5.00	R
3.00	1.00	4.00	1.00	R
3.00	1.00	4.00	2.00	R
3.00	1.00	4.00	3.00	R
3.00	1.00	4.00	4.00	R
3.00	1.00	4.00	5.00	R
3.00	1.00	5.00	1.00	R
3.00	1.00	5.00	2.00	R
3.00	1.00	5.00	3.00	R
3.00	1.00	5.00	4.00	R
3.00	1.00	5.00	5.00	R
3.00	2.00	1.00	1.00	L
3.00	2.00	1.00	2.00	L
3.00	2.00	1.00	3.00	L
3.00	2.00	1.00	4.00	L
3.00	2.00	1.00	5.00	L
3.00	2.00	2.00	1.00	L
3.00	2.00	2.00	2.00	L
3.00	2.00	2.00	3.00	B
3.00	2.00	2.00	4.00	R
3.00	2.00	2.00	5.00	R
3.00	2.00	3.00	1.00	L
3.00	2.00	3.00	2.00	B
3.00	2.00	3.00	3.00	R
3.00	2.00	3.00	4.00	R
3.00	2.00	3.00	5.00	R
3.00	2.00	4.00	1.00	L
3.00	2.00	4.00	2.00	R
3.00	2.00	4.00	3.00	R
3.00	2.00	4.00	4.00	R
3.00	2.00	4.00	5.00	R
3.00	2.00	5.00	1.00	L
3.00	2.00	5.00	2.00	R
3.00	2.00	5.00	3.00	R
3.00	2.00	5.00	4.00	R
3.00	2.00	5.00	5.00	R
3.00	3.00	1.00	1.00	L
3.00	3.00	1.00	2.00	L
3.00	3.00	1.00	3.00	L
3.00	3.00	1.00	4.00	L
3.00	3.00	1.00	5.00	L
3.00	3.00	2.00	1.00	L
3.00	3.00	2.00	2.00	L
3.00	3.00	2.00	3.00	L
3.00	3.00	2.00	4.00	L
3.00	3.00	2.00	5.00	R
3.00	3.00	3.00	1.00	L
3.00	3.00	3.00	2.00	L
3.00	3.00	3.00	3.00	B
3.00	3.00	3.00	4.00	R
3.00	3.00	3.00	5.00	R
3.00	3.00	4.00	1.00	L
3.00	3.00	4.00	2.00	L
3.00	3.00	4.00	3.00	R
3.00	3.00	4.00	4.00	R
3.00	3.00	4.00	5.00	R
3.00	3.00	5.00	1.00	L
3.00	3.00	5.00	2.00	R
3.00	3.00	5.00	3.00	R
3.00	3.00	5.00	4.00	R
3.00	3.00	5.00	5.00	R
3.00	4.00	1.00	1.00	L
3.00	4.00	1.00	2.00	L
3.00	4.00	1.00	3.00	L
3.00	4.00	1.00	4.00	L
3.00	4.00	1.00	5.00	L
3.00	4.00	2.00	1.00	L
3.00	4.00	2.00	2.00	L
3.00	4.00	2.00	3.00	L
3.00	4.00	2.00	4.00	L
3.00	4.00	2.00	5.00	L
3.00	4.00	3.00	1.00	L
3.00	4.00	3.00	2.00	L
3.00	4.00	3.00	3.00	L
3.00	4.00	3.00	4.00	B
3.00	4.00	3.00	5.00	R
3.00	4.00	4.00	1.00	L
3.00	4.00	4.00	2.00	L
3.00	4.00	4.00	3.00	B
3.00	4.00	4.00	4.00	R
3.00	4.00	4.00	5.00	R
3.00	4.00	5.00	1.00	L
3.00	4.00	5.00	2.00	L
3.00	4.00	5.00	3.00	R
3.00	4.00	5.00	4.00	R
3.00	4.00	5.00	5.00	R
3.00	5.00	1.00	1.00	L
3.00	5.00	1.00	2.00	L
3.00	5.00	1.00	3.00	L
3.00	5.00	1.00	4.00	L
3.00	5.00	1.00	5.00	L
3.00	5.00	2.00	1.00	L
3.00	5.00	2.00	2.00	L
3.00	5.00	2.00	3.00	L
3.00	5.00	2.00	4.00	L
3.00	5.00	2.00	5.00	L
3.00	5.00	3.00	1.00	L
3.00	5.00	3.00	2.00	L
3.00	5.00	3.00	3.00	L
3.00	5.00	3.00	4.00	L
3.00	5.00	3.00	5.00	B
3.00	5.00	4.00	1.00	L
3.00	5.00	4.00	2.00	L
3.00	5.00	4.00	3.00	L
3.00	5.00	4.00	4.00	R
3.00	5.00	4.00	5.00	R
3.00	5.00	5.00	1.00	L
3.00	5.00	5.00	2.00	L
3.00	5.00	5.00	3.00	B
3.00	5.00	5.00	4.00	R
3.00	5.00	5.00	5.00	R
4.00	1.00	1.00	1.00	L
4.00	1.00	1.00	2.00	L
4.00	1.00	1.00	3.00	L
4.00	1.00	1.00	4.00	B
4.00	1.00	1.00	5.00	R
4.00	1.00	2.00	1.00	L
4.00	1.00	2.00	2.00	B
4.00	1.00	2.00	3.00	R
4.00	1.00	2.00	4.00	R
4.00	1.00	2.00	5.00	R
4.00	1.00	3.00	1.00	L
4.00	1.00	3.00	2.00	R
4.00	1.00	3.00	3.00	R
4.00	1.00	3.00	4.00	R
4.00	1.00	3.00	5.00	R
4.00	1.00	4.00	1.00	B
4.00	1.00	4.00	2.00	R
4.00	1.00	4.00	3.00	R
4.00	1.00	4.00	4.00	R
4.00	1.00	4.00	5.00	R
4.00	1.00	5.00	1.00	R
4.00	1.00	5.00	2.00	R
4.00	1.00	5.00	3.00	R
4.00	1.00	5.00	4.00	R
4.00	1.00	5.00	5.00	R
4.00	2.00	1.00	1.00	L
4.00	2.00	1.00	2.00	L
4.00	2.00	1.00	3.00	L
4.00	2.00	1.00	4.00	L
4.00	2.00	1.00	5.00	L
4.00	2.00	2.00	1.00	L
4.00	2.00	2.00	2.00	L
4.00	2.00	2.00	3.00	L
4.00	2.00	2.00	4.00	B
4.00	2.00	2.00	5.00	R
4.00	2.00	3.00	1.00	L
4.00	2.00	3.00	2.00	L
4.00	2.00	3.00	3.00	R
4.00	2.00	3.00	4.00	R
4.00	2.00	3.00	5.00	R
4.00	2.00	4.00	1.00	L
4.00	2.00	4.00	2.00	B
4.00	2.00	4.00	3.00	R
4.00	2.00	4.00	4.00	R
4.00	2.00	4.00	5.00	R
4.00	2.00	5.00	1.00	L
4.00	2.00	5.00	2.00	R
4.00	2.00	5.00	3.00	R
4.00	2.00	5.00	4.00	R
4.00	2.00	5.00	5.00	R
4.00	3.00	1.00	1.00	L
4.00	3.00	1.00	2.00	L
4.00	3.00	1.00	3.00	L
4.00	3.00	1.00	4.00	L
4.00	3.00	1.00	5.00	L
4.00	3.00	2.00	1.00	L
4.00	3.00	2.00	2.00	L
4.00	3.00	2.00	3.00	L
4.00	3.00	2.00	4.00	L
4.00	3.00	2.00	5.00	L
4.00	3.00	3.00	1.00	L
4.00	3.00	3.00	2.00	L
4.00	3.00	3.00	3.00	L
4.00	3.00	3.00	4.00	B
4.00	3.00	3.00	5.00	R
4.00	3.00	4.00	1.00	L
4.00	3.00	4.00	2.00	L
4.00	3.00	4.00	3.00	B
4.00	3.00	4.00	4.00	R
4.00	3.00	4.00	5.00	R
4.00	3.00	5.00	1.00	L
4.00	3.00	5.00	2.00	L
4.00	3.00	5.00	3.00	R
4.00	3.00	5.00	4.00	R
4.00	3.00	5.00	5.00	R
4.00	4.00	1.00	1.00	L
4.00	4.00	1.00	2.00	L
4.00	4.00	1.00	3.00	L
4.00	4.00	1.00	4.00	L
4.00	4.00	1.00	5.00	L
4.00	4.00	2.00	1.00	L
4.00	4.00	2.00	2.00	L
4.00	4.00	2.00	3.00	L
4.00	4.00	2.00	4.00	L
4.00	4.00	2.00	5.00	L
4.00	4.00	3.00	1.00	L
4.00	4.00	3.00	2.00	L
4.00	4.00	3.00	3.00	L
4.00	4.00	3.00	4.00	L
4.00	4.00	3.00	5.00	L
4.00	4.00	4.00	1.00	L
4.00	4.00	4.00	2.00	L
4.00	4.00	4.00	3.00	L
4.00	4.00	4.00	4.00	B
4.00	4.00	4.00	5.00	R
4.00	4.00	5.00	1.00	L
4.00	4.00	5.00	2.00	L
4.00	4.00	5.00	3.00	L
4.00	4.00	5.00	4.00	R
4.00	4.00	5.00	5.00	R
4.00	5.00	1.00	1.00	L
4.00	5.00	1.00	2.00	L
4.00	5.00	1.00	3.00	L
4.00	5.00	1.00	4.00	L
4.00	5.00	1.00	5.00	L
4.00	5.00	2.00	1.00	L
4.00	5.00	2.00	2.00	L
4.00	5.00	2.00	3.00	L
4.00	5.00	2.00	4.00	L
4.00	5.00	2.00	5.00	L
4.00	5.00	3.00	1.00	L
4.00	5.00	3.00	2.00	L
4.00	5.00	3.00	3.00	L
4.00	5.00	3.00	4.00	L
4.00	5.00	3.00	5.00	L
4.00	5.00	4.00	1.00	L
4.00	5.00	4.00	2.00	L
4.00	5.00	4.00	3.00	L
4.00	5.00	4.00	4.00	L
4.00	5.00	4.00	5.00	B
4.00	5.00	5.00	1.00	L
4.00	5.00	5.00	2.00	L
4.00	5.00	5.00	3.00	L
4.00	5.00	5.00	4.00	B
4.00	5.00	5.00	5.00	R
5.00	1.00	1.00	1.00	L
5.00	1.00	1.00	2.00	L
5.00	1.00	1.00	3.00	L
5.00	1.00	1.00	4.00	L
5.00	1.00	1.00	5.00	B
5.00	1.00	2.00	1.00	L
5.00	1.00	2.00	2.00	L
5.00	1.00	2.00	3.00	R
5.00	1.00	2.00	4.00	R
5.00	1.00	2.00	5.00	R
5.00	1.00	3.00	1.00	L
5.00	1.00	3.00	2.00	R
5.00	1.00	3.00	3.00	R
5.00	1.00	3.00	4.00	R
5.00	1.00	3.00	5.00	R
5.00	1.00	4.00	1.00	L
5.00	1.00	4.00	2.00	R
5.00	1.00	4.00	3.00	R
5.00	1.00	4.00	4.00	R
5.00	1.00	4.00	5.00	R
5.00	1.00	5.00	1.00	B
5.00	1.00	5.00	2.00	R
5.00	1.00	5.00	3.00	R
5.00	1.00	5.00	4.00	R
5.00	1.00	5.00	5.00	R
5.00	2.00	1.00	1.00	L
5.00	2.00	1.00	2.00	L
5.00	2.00	1.00	3.00	L
5.00	2.00	1.00	4.00	L
5.00	2.00	1.00	5.00	L
5.00	2.00	2.00	1.00	L
5.00	2.00	2.00	2.00	L
5.00	2.00	2.00	3.00	L
5.00	2.00	2.00	4.00	L
5.00	2.00	2.00	5.00	B
5.00	2.00	3.00	1.00	L
5.00	2.00	3.00	2.00	L
5.00	2.00	3.00	3.00	L
5.00	2.00	3.00	4.00	R
5.00	2.00	3.00	5.00	R
5.00	2.00	4.00	1.00	L
5.00	2.00	4.00	2.00	L
5.00	2.00	4.00	3.00	R
5.00	2.00	4.00	4.00	R
5.00	2.00	4.00	5.00	R
5.00	2.00	5.00	1.00	L
5.00	2.00	5.00	2.00	B
5.00	2.00	5.00	3.00	R
5.00	2.00	5.00	4.00	R
5.00	2.00	5.00	5.00	R
5.00	3.00	1.00	1.00	L
5.00	3.00	1.00	2.00	L
5.00	3.00	1.00	3.00	L
5.00	3.00	1.00	4.00	L
5.00	3.00	1.00	5.00	L
5.00	3.00	2.00	1.00	L
5.00	3.00	2.00	2.00	L
5.00	3.00	2.00	3.00	L
5.00	3.00	2.00	4.00	L
5.00	3.00	2.00	5.00	L
5.00	3.00	3.00	1.00	L
5.00	3.00	3.00	2.00	L
5.00	3.00	3.00	3.00	L
5.00	3.00	3.00	4.00	L
5.00	3.00	3.00	5.00	B
5.00	3.00	4.00	1.00	L
5.00	3.00	4.00	2.00	L
5.00	3.00	4.00	3.00	L
5.00	3.00	4.00	4.00	R
5.00	3.00	4.00	5.00	R
5.00	3.00	5.00	1.00	L
5.00	3.00	5.00	2.00	L
5.00	3.00	5.00	3.00	B
5.00	3.00	5.00	4.00	R
5.00	3.00	5.00	5.00	R
5.00	4.00	1.00	1.00	L
5.00	4.00	1.00	2.00	L
5.00	4.00	1.00	3.00	L
5.00	4.00	1.00	4.00	L
5.00	4.00	1.00	5.00	L
5.00	4.00	2.00	1.00	L
5.00	4.00	2.00	2.00	L
5.00	4.00	2.00	3.00	L
5.00	4.00	2.00	4.00	L
5.00	4.00	2.00	5.00	L
5.00	4.00	3.00	1.00	L
5.00	4.00	3.00	2.00	L
5.00	4.00	3.00	3.00	L
5.00	4.00	3.00	4.00	L
5.00	4.00	3.00	5.00	L
5.00	4.00	4.00	1.00	L
5.00	4.00	4.00	2.00	L
5.00	4.00	4.00	3.00	L
5.00	4.00	4.00	4.00	L
5.00	4.00	4.00	5.00	B
5.00	4.00	5.00	1.00	L
5.00	4.00	5.00	2.00	L
5.00	4.00	5.00	3.00	L
5.00	4.00	5.00	4.00	B
5.00	4.00	5.00	5.00	R
5.00	5.00	1.00	1.00	L
5.00	5.00	1.00	2.00	L
5.00	5.00	1.00	3.00	L
5.00	5.00	1.00	4.00	L
5.00	5.00	1.00	5.00	L
5.00	5.00	2.00	1.00	L
5.00	5.00	2.00	2.00	L
5.00	5.00	2.00	3.00	L
5.00	5.00	2.00	4.00	L
5.00	5.00	2.00	5.00	L
5.00	5.00	3.00	1.00	L
5.00	5.00	3.00	2.00	L
5.00	5.00	3.00	3.00	L
5.00	5.00	3.00	4.00	L
5.00	5.00	3.00	5.00	L
5.00	5.00	4.00	1.00	L
5.00	5.00	4.00	2.00	L
5.00	5.00	4.00	3.00	L
5.00	5.00	4.00	4.00	L
5.00	5.00	4.00	5.00	L
5.00	5.00	5.00	1.00	L
5.00	5.00	5.00	2.00	L
5.00	5.00	5.00	3.00	L
5.00	5.00	5.00	4.00	L
5.00	5.00	5.00	5.00	B
