x-box	y-box	width	high	onpix	x-bar	y-bar	x2bar	y2bar	xybar	x2ybr	xy2br	x-ege	xegvy	y-ege	yegvx	class
2.00	4.00	4.00	3.00	3.00	7.00	8.00	4.00	4.00	9.00	5.00	8.00	2.00	6.00	3.00	10.00	R
5.00	10.00	7.00	7.00	5.00	7.00	9.00	4.00	6.00	5.00	8.00	10.00	6.00	10.00	1.00	7.00	U
4.00	7.00	4.00	5.00	3.00	7.00	6.00	12.00	4.00	7.00	12.00	8.00	3.00	9.00	0.00	8.00	U
7.00	10.00	5.00	5.00	2.00	6.00	8.00	6.00	8.00	11.00	7.00	11.00	2.00	8.00	5.00	9.00	C
5.00	9.00	6.00	7.00	4.00	8.00	7.00	8.00	5.00	7.00	6.00	8.00	3.00	8.00	3.00	8.00	O
7.00	13.00	5.00	7.00	3.00	6.00	8.00	6.00	8.00	10.00	6.00	10.00	1.00	8.00	8.00	8.00	E
5.00	10.00	7.00	7.00	5.00	10.00	6.00	4.00	7.00	11.00	3.00	6.00	4.00	6.00	4.00	8.00	D
5.00	7.00	6.00	5.00	3.00	4.00	8.00	5.00	7.00	9.00	8.00	9.00	3.00	9.00	2.00	5.00	U
3.00	4.00	5.00	3.00	3.00	9.00	7.00	3.00	5.00	11.00	3.00	6.00	2.00	7.00	3.00	9.00	R
2.00	4.00	3.00	3.00	2.00	7.00	7.00	5.00	7.00	7.00	6.00	9.00	2.00	8.00	5.00	10.00	E
6.00	10.00	6.00	8.00	4.00	6.00	7.00	6.00	7.00	10.00	8.00	11.00	2.00	9.00	5.00	9.00	G
5.00	9.00	7.00	6.00	6.00	10.00	6.00	2.00	6.00	11.00	3.00	8.00	3.00	8.00	4.00	12.00	B
4.00	10.00	7.00	7.00	2.00	8.00	7.00	3.00	0.00	7.00	0.00	8.00	3.00	7.00	2.00	8.00	A
1.00	1.00	3.00	2.00	1.00	6.00	10.00	1.00	6.00	8.00	11.00	8.00	1.00	11.00	2.00	8.00	Y
2.00	4.00	4.00	6.00	4.00	8.00	11.00	3.00	3.00	5.00	8.00	9.00	2.00	11.00	5.00	6.00	Y
5.00	10.00	6.00	8.00	5.00	8.00	6.00	9.00	4.00	7.00	5.00	8.00	3.00	8.00	3.00	8.00	O
7.00	10.00	7.00	7.00	5.00	7.00	6.00	7.00	8.00	11.00	6.00	11.00	2.00	11.00	5.00	9.00	G
5.00	9.00	7.00	7.00	5.00	8.00	3.00	1.00	2.00	6.00	2.00	7.00	3.00	5.00	4.00	7.00	A
3.00	4.00	4.00	3.00	1.00	5.00	9.00	5.00	7.00	12.00	9.00	10.00	1.00	10.00	3.00	7.00	C
4.00	5.00	6.00	7.00	6.00	7.00	8.00	4.00	1.00	8.00	6.00	6.00	4.00	10.00	8.00	5.00	H
4.00	11.00	6.00	8.00	8.00	7.00	7.00	3.00	4.00	7.00	6.00	8.00	7.00	10.00	8.00	6.00	R
4.00	7.00	6.00	5.00	4.00	8.00	6.00	5.00	5.00	8.00	7.00	7.00	3.00	7.00	4.00	6.00	J
4.00	7.00	5.00	5.00	3.00	8.00	7.00	12.00	1.00	6.00	9.00	8.00	8.00	6.00	0.00	8.00	M
3.00	9.00	5.00	7.00	3.00	7.00	11.00	2.00	3.00	6.00	11.00	9.00	2.00	10.00	1.00	8.00	V
2.00	3.00	4.00	2.00	2.00	8.00	8.00	3.00	5.00	9.00	4.00	7.00	2.00	6.00	3.00	10.00	R
3.00	8.00	5.00	6.00	3.00	7.00	12.00	4.00	6.00	7.00	11.00	8.00	2.00	12.00	1.00	8.00	T
5.00	8.00	7.00	9.00	7.00	8.00	9.00	4.00	5.00	7.00	7.00	8.00	5.00	7.00	10.00	10.00	J
3.00	5.00	5.00	3.00	2.00	8.00	7.00	3.00	8.00	11.00	5.00	7.00	1.00	9.00	4.00	8.00	S
6.00	11.00	8.00	9.00	9.00	9.00	7.00	5.00	2.00	6.00	6.00	10.00	8.00	8.00	5.00	10.00	G
2.00	3.00	3.00	2.00	2.00	9.00	6.00	4.00	6.00	10.00	4.00	6.00	2.00	8.00	2.00	9.00	D
2.00	0.00	2.00	1.00	1.00	8.00	6.00	6.00	5.00	6.00	5.00	9.00	2.00	8.00	5.00	10.00	G
5.00	8.00	7.00	10.00	7.00	10.00	5.00	4.00	4.00	8.00	3.00	6.00	3.00	5.00	8.00	8.00	Z
6.00	11.00	6.00	8.00	4.00	5.00	7.00	10.00	10.00	7.00	6.00	6.00	3.00	8.00	4.00	8.00	D
1.00	3.00	3.00	2.00	1.00	6.00	3.00	2.00	2.00	5.00	2.00	8.00	1.00	6.00	1.00	7.00	A
1.00	0.00	1.00	0.00	0.00	7.00	13.00	1.00	4.00	7.00	10.00	8.00	0.00	8.00	0.00	8.00	T
2.00	3.00	3.00	1.00	1.00	7.00	7.00	6.00	5.00	7.00	6.00	9.00	2.00	9.00	4.00	10.00	G
1.00	3.00	2.00	1.00	0.00	6.00	4.00	1.00	7.00	8.00	2.00	10.00	0.00	7.00	2.00	9.00	L
6.00	9.00	8.00	7.00	8.00	8.00	4.00	7.00	3.00	7.00	6.00	7.00	8.00	7.00	6.00	3.00	W
0.00	1.00	1.00	2.00	1.00	7.00	7.00	1.00	6.00	7.00	6.00	8.00	0.00	8.00	2.00	8.00	I
6.00	8.00	9.00	7.00	10.00	6.00	8.00	5.00	3.00	6.00	5.00	8.00	13.00	9.00	5.00	8.00	M
4.00	9.00	4.00	4.00	2.00	11.00	4.00	4.00	5.00	12.00	3.00	8.00	2.00	7.00	6.00	12.00	Q
2.00	3.00	3.00	4.00	2.00	8.00	7.00	5.00	8.00	4.00	6.00	8.00	0.00	8.00	8.00	8.00	S
9.00	14.00	8.00	8.00	5.00	7.00	4.00	4.00	8.00	9.00	5.00	9.00	3.00	8.00	9.00	9.00	Q
3.00	6.00	5.00	4.00	1.00	8.00	8.00	4.00	2.00	6.00	14.00	8.00	3.00	10.00	0.00	8.00	V
5.00	10.00	5.00	8.00	6.00	6.00	8.00	9.00	5.00	6.00	5.00	7.00	2.00	8.00	5.00	11.00	R
7.00	9.00	5.00	13.00	5.00	7.00	8.00	5.00	3.00	11.00	7.00	7.00	3.00	9.00	11.00	6.00	Z
4.00	9.00	5.00	7.00	5.00	5.00	8.00	6.00	4.00	8.00	7.00	9.00	3.00	8.00	7.00	10.00	P
8.00	9.00	8.00	6.00	6.00	2.00	12.00	2.00	2.00	10.00	10.00	8.00	7.00	11.00	1.00	7.00	W
3.00	10.00	5.00	7.00	2.00	7.00	7.00	0.00	9.00	14.00	6.00	8.00	0.00	8.00	1.00	8.00	I
3.00	7.00	3.00	5.00	2.00	1.00	12.00	4.00	5.00	12.00	11.00	7.00	0.00	8.00	1.00	6.00	F
5.00	8.00	6.00	10.00	8.00	7.00	9.00	5.00	5.00	7.00	6.00	7.00	4.00	9.00	9.00	7.00	F
4.00	9.00	5.00	7.00	2.00	10.00	6.00	2.00	8.00	14.00	3.00	8.00	0.00	7.00	0.00	8.00	J
5.00	9.00	5.00	7.00	2.00	3.00	12.00	4.00	4.00	10.00	12.00	7.00	3.00	10.00	1.00	8.00	V
6.00	9.00	8.00	6.00	9.00	7.00	8.00	6.00	5.00	7.00	5.00	8.00	8.00	9.00	8.00	6.00	M
9.00	13.00	10.00	8.00	6.00	11.00	11.00	7.00	3.00	4.00	7.00	9.00	9.00	13.00	3.00	6.00	M
4.00	8.00	4.00	6.00	4.00	7.00	7.00	7.00	4.00	10.00	6.00	8.00	3.00	8.00	3.00	6.00	O
1.00	3.00	3.00	1.00	1.00	8.00	8.00	2.00	5.00	14.00	5.00	8.00	1.00	7.00	0.00	8.00	J
3.00	8.00	4.00	6.00	2.00	3.00	6.00	6.00	11.00	7.00	7.00	14.00	0.00	8.00	7.00	7.00	E
6.00	9.00	8.00	5.00	4.00	9.00	3.00	3.00	2.00	9.00	3.00	9.00	8.00	2.00	1.00	9.00	M
9.00	13.00	10.00	7.00	6.00	4.00	9.00	4.00	6.00	10.00	10.00	11.00	5.00	8.00	4.00	6.00	K
5.00	9.00	7.00	6.00	6.00	5.00	10.00	5.00	5.00	10.00	8.00	3.00	1.00	10.00	3.00	7.00	P
5.00	10.00	7.00	8.00	4.00	10.00	3.00	2.00	3.00	8.00	1.00	7.00	2.00	7.00	3.00	8.00	A
2.00	5.00	3.00	3.00	2.00	6.00	7.00	5.00	5.00	9.00	7.00	10.00	2.00	9.00	4.00	9.00	G
5.00	9.00	5.00	4.00	3.00	10.00	7.00	4.00	5.00	7.00	9.00	5.00	4.00	11.00	2.00	7.00	V
2.00	2.00	3.00	3.00	2.00	8.00	7.00	3.00	8.00	6.00	6.00	7.00	2.00	8.00	5.00	7.00	X
1.00	1.00	2.00	1.00	0.00	7.00	4.00	2.00	0.00	7.00	2.00	8.00	2.00	7.00	1.00	8.00	A
6.00	10.00	8.00	8.00	5.00	8.00	6.00	3.00	9.00	12.00	4.00	9.00	3.00	6.00	8.00	9.00	Z
4.00	9.00	5.00	6.00	5.00	7.00	6.00	7.00	6.00	6.00	8.00	10.00	2.00	11.00	9.00	7.00	S
8.00	9.00	11.00	7.00	8.00	10.00	6.00	2.00	5.00	9.00	3.00	6.00	10.00	8.00	3.00	9.00	M
4.00	10.00	4.00	8.00	4.00	7.00	8.00	3.00	12.00	9.00	6.00	8.00	0.00	8.00	7.00	7.00	Z
4.00	8.00	5.00	6.00	3.00	7.00	7.00	12.00	1.00	7.00	9.00	8.00	8.00	6.00	0.00	8.00	M
12.00	13.00	11.00	7.00	5.00	8.00	11.00	3.00	3.00	5.00	10.00	7.00	8.00	12.00	1.00	6.00	W
7.00	11.00	7.00	8.00	5.00	5.00	10.00	0.00	8.00	11.00	9.00	6.00	1.00	9.00	3.00	4.00	T
2.00	7.00	3.00	5.00	2.00	3.00	7.00	6.00	10.00	7.00	6.00	14.00	0.00	8.00	7.00	8.00	E
1.00	3.00	0.00	4.00	0.00	7.00	7.00	4.00	4.00	7.00	6.00	8.00	0.00	8.00	0.00	8.00	I
5.00	9.00	5.00	4.00	3.00	5.00	9.00	3.00	6.00	9.00	8.00	9.00	5.00	7.00	3.00	7.00	H
4.00	9.00	5.00	7.00	3.00	6.00	8.00	7.00	7.00	7.00	10.00	9.00	3.00	9.00	1.00	8.00	U
4.00	7.00	4.00	4.00	1.00	7.00	7.00	5.00	4.00	7.00	6.00	8.00	3.00	8.00	4.00	8.00	X
3.00	3.00	4.00	2.00	1.00	4.00	12.00	3.00	2.00	10.00	11.00	7.00	2.00	11.00	1.00	8.00	V
5.00	9.00	6.00	4.00	4.00	7.00	9.00	2.00	3.00	7.00	8.00	6.00	8.00	11.00	2.00	7.00	W
3.00	4.00	5.00	3.00	3.00	10.00	6.00	3.00	7.00	10.00	3.00	6.00	2.00	8.00	3.00	9.00	D
4.00	2.00	5.00	4.00	4.00	7.00	8.00	4.00	6.00	7.00	5.00	7.00	3.00	7.00	4.00	8.00	R
3.00	5.00	5.00	4.00	2.00	8.00	7.00	3.00	7.00	10.00	6.00	7.00	1.00	9.00	5.00	8.00	S
7.00	10.00	6.00	5.00	3.00	7.00	8.00	2.00	7.00	11.00	6.00	6.00	2.00	9.00	5.00	6.00	F
5.00	7.00	6.00	6.00	6.00	8.00	6.00	5.00	4.00	7.00	5.00	8.00	7.00	9.00	6.00	3.00	N
3.00	5.00	5.00	8.00	3.00	11.00	5.00	3.00	5.00	10.00	2.00	7.00	2.00	7.00	5.00	11.00	Z
3.00	5.00	4.00	7.00	2.00	7.00	7.00	4.00	14.00	10.00	6.00	8.00	0.00	8.00	8.00	8.00	Z
1.00	10.00	0.00	7.00	0.00	7.00	7.00	4.00	4.00	7.00	6.00	8.00	0.00	8.00	0.00	8.00	I
8.00	12.00	6.00	9.00	5.00	7.00	11.00	3.00	3.00	13.00	5.00	4.00	3.00	9.00	9.00	9.00	J
2.00	3.00	3.00	4.00	3.00	8.00	8.00	5.00	2.00	8.00	8.00	9.00	2.00	9.00	5.00	8.00	Q
5.00	10.00	7.00	8.00	4.00	5.00	13.00	5.00	4.00	13.00	8.00	3.00	2.00	10.00	2.00	5.00	F
2.00	7.00	2.00	5.00	1.00	13.00	2.00	7.00	5.00	14.00	2.00	11.00	0.00	7.00	0.00	8.00	J
3.00	7.00	4.00	5.00	4.00	8.00	8.00	7.00	2.00	7.00	4.00	6.00	4.00	6.00	8.00	8.00	R
4.00	8.00	5.00	6.00	3.00	7.00	8.00	4.00	8.00	11.00	7.00	7.00	2.00	8.00	5.00	6.00	S
3.00	5.00	4.00	4.00	3.00	7.00	7.00	6.00	6.00	7.00	6.00	8.00	3.00	8.00	3.00	8.00	H
4.00	7.00	6.00	5.00	7.00	9.00	6.00	4.00	4.00	6.00	6.00	7.00	7.00	8.00	6.00	7.00	B
6.00	9.00	5.00	4.00	3.00	10.00	4.00	4.00	7.00	11.00	3.00	10.00	3.00	7.00	7.00	11.00	Q
1.00	3.00	2.00	2.00	1.00	9.00	2.00	2.00	1.00	8.00	2.00	8.00	1.00	6.00	1.00	8.00	A
3.00	6.00	4.00	4.00	1.00	5.00	11.00	2.00	2.00	8.00	12.00	8.00	1.00	11.00	0.00	8.00	Y
3.00	8.00	3.00	6.00	2.00	5.00	9.00	10.00	5.00	8.00	6.00	5.00	2.00	9.00	4.00	8.00	P
2.00	6.00	3.00	4.00	2.00	8.00	12.00	2.00	8.00	5.00	11.00	9.00	1.00	11.00	1.00	8.00	T
4.00	6.00	5.00	4.00	5.00	7.00	7.00	4.00	3.00	6.00	8.00	10.00	5.00	11.00	3.00	8.00	C
5.00	9.00	5.00	6.00	2.00	7.00	8.00	15.00	0.00	7.00	5.00	8.00	3.00	8.00	0.00	8.00	H
2.00	5.00	3.00	4.00	2.00	6.00	7.00	6.00	6.00	10.00	7.00	11.00	2.00	9.00	4.00	9.00	G
4.00	9.00	6.00	7.00	4.00	6.00	9.00	6.00	5.00	7.00	7.00	8.00	6.00	9.00	2.00	6.00	N
4.00	8.00	5.00	6.00	5.00	8.00	8.00	3.00	8.00	7.00	7.00	7.00	0.00	8.00	11.00	8.00	Z
5.00	8.00	6.00	10.00	8.00	9.00	9.00	2.00	3.00	6.00	9.00	6.00	9.00	11.00	7.00	5.00	P
2.00	3.00	4.00	2.00	1.00	7.00	7.00	2.00	9.00	11.00	6.00	8.00	1.00	8.00	5.00	7.00	Z
2.00	1.00	2.00	1.00	1.00	4.00	7.00	5.00	8.00	7.00	6.00	13.00	0.00	8.00	7.00	9.00	E
2.00	4.00	4.00	2.00	2.00	8.00	7.00	3.00	5.00	10.00	4.00	7.00	2.00	7.00	3.00	10.00	R
3.00	5.00	5.00	3.00	3.00	7.00	8.00	2.00	8.00	11.00	7.00	9.00	2.00	9.00	4.00	8.00	E
3.00	5.00	5.00	4.00	3.00	8.00	7.00	2.00	7.00	11.00	5.00	8.00	2.00	9.00	5.00	10.00	E
7.00	9.00	7.00	11.00	8.00	7.00	10.00	4.00	4.00	7.00	10.00	11.00	5.00	11.00	10.00	9.00	Q
8.00	15.00	7.00	9.00	3.00	6.00	10.00	3.00	8.00	13.00	6.00	6.00	2.00	8.00	5.00	4.00	T
7.00	12.00	6.00	6.00	3.00	7.00	8.00	2.00	7.00	11.00	6.00	6.00	2.00	9.00	6.00	5.00	F
5.00	11.00	6.00	8.00	6.00	6.00	7.00	9.00	7.00	6.00	5.00	5.00	2.00	8.00	3.00	7.00	D
0.00	0.00	1.00	1.00	0.00	12.00	4.00	5.00	3.00	12.00	4.00	11.00	0.00	7.00	0.00	8.00	J
4.00	7.00	6.00	9.00	7.00	9.00	10.00	7.00	4.00	7.00	7.00	6.00	5.00	11.00	6.00	3.00	Y
4.00	8.00	5.00	6.00	4.00	6.00	8.00	3.00	6.00	10.00	7.00	8.00	2.00	8.00	5.00	6.00	S
4.00	10.00	5.00	8.00	3.00	7.00	6.00	9.00	8.00	6.00	4.00	7.00	3.00	8.00	4.00	8.00	O
5.00	8.00	7.00	6.00	8.00	8.00	10.00	5.00	3.00	7.00	7.00	8.00	7.00	9.00	4.00	9.00	O
2.00	7.00	3.00	5.00	1.00	7.00	7.00	3.00	13.00	9.00	6.00	8.00	0.00	8.00	8.00	8.00	Z
9.00	15.00	8.00	8.00	6.00	8.00	6.00	3.00	7.00	10.00	5.00	7.00	6.00	8.00	8.00	5.00	D
1.00	4.00	2.00	3.00	1.00	7.00	7.00	0.00	7.00	13.00	6.00	8.00	0.00	8.00	1.00	8.00	I
5.00	8.00	8.00	6.00	4.00	10.00	7.00	3.00	5.00	10.00	2.00	4.00	5.00	9.00	1.00	7.00	N
3.00	6.00	3.00	4.00	3.00	8.00	8.00	12.00	1.00	7.00	5.00	8.00	3.00	8.00	0.00	8.00	H
6.00	10.00	8.00	7.00	5.00	4.00	8.00	7.00	8.00	9.00	11.00	11.00	3.00	9.00	1.00	8.00	U
3.00	6.00	4.00	4.00	4.00	8.00	6.00	5.00	2.00	7.00	7.00	10.00	6.00	9.00	4.00	7.00	C
8.00	10.00	8.00	8.00	7.00	5.00	7.00	5.00	8.00	8.00	6.00	9.00	8.00	8.00	6.00	1.00	U
9.00	13.00	6.00	7.00	4.00	5.00	8.00	6.00	4.00	10.00	8.00	9.00	5.00	10.00	5.00	8.00	O
